ID,RRI_A,RRI_C,RRI_D,RRI_E,RRI_F,RRI_G,RRI_H,RRI_I,RRI_K,RRI_L,RRI_M,RRI_N,RRI_P,RRI_Q,RRI_R,RRI_S,RRI_T,RRI_V,RRI_W,RRI_Y
seq159,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00, 
seq160,1.00,0.00,1.00,1.00,1.00,2.00,0.00,1.50,1.67,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00, 
seq161,1.00,0.00,0.00,0.00,1.00,1.40,1.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.57,0.00,0.00, 
seq162,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.86,0.00,0.00,0.00,0.00,1.44,0.00,0.00,0.00,0.00,0.00, 
seq163,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.40,1.40,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq164,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq165,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.50,1.67,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00, 
seq166,1.00,0.00,1.00,0.00,1.00,2.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.67,1.00,0.00, 
seq167,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.50,1.00,1.00,1.00,0.00,0.00, 
seq168,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.50,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq169,1.46,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,2.00,1.00,0.00,1.50,1.00,0.00,1.00,0.00,1.00,1.00, 
seq170,1.46,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.33,1.67,1.00,0.00,1.50,1.00,0.00,1.00,0.00,1.00,1.00, 
seq171,0.00,0.00,1.00,1.22,0.00,0.00,1.00,1.00,1.00,1.33,1.67,1.40,0.00,1.40,1.00,1.00,1.00,0.00,1.00,1.00, 
seq172,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.40,1.00,0.00,1.00,0.00,1.00, 
seq173,1.22,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.67,0.00,1.00,1.00, 
seq174,0.00,0.00,1.00,1.17,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.40,1.00,1.00,1.50,0.00,1.00,1.00, 
seq175,0.00,0.00,0.00,0.00,1.00,1.00,1.40,1.67,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq176,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.33,0.00,1.00,0.00,1.25,0.00,1.00,1.00,0.00,1.00,1.00, 
seq177,1.00,0.00,1.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.40,0.00,1.00,1.00,1.00, 
seq178,1.29,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq179,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,1.00, 
seq180,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,0.00, 
seq181,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,0.00, 
seq182,1.00,0.00,1.00,1.40,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.67,1.00,0.00,0.00,1.00,0.00, 
seq183,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.40,1.00,1.00,0.00,1.00, 
seq184,1.00,0.00,1.00,1.40,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.40,1.00,1.00,1.67,1.00,0.00,1.00,1.00,0.00, 
seq185,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.33,1.00,1.00,0.00,0.00, 
seq186,1.22,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq187,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.33,1.00,1.00,1.00,1.00,0.00, 
seq188,1.20,0.00,1.00,1.00,1.00,1.50,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.67,1.33,0.00,1.00, 
seq189,1.40,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.40,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,1.50,0.00,0.00, 
seq190,0.00,0.00,0.00,0.00,1.00,2.25,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,1.00,1.00,0.00,1.00, 
seq191,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq192,1.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00, 
seq193,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00, 
seq194,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq195,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq196,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.67,1.50,0.00,0.00,1.00, 
seq197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.40,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00, 
seq198,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.67,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.67,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq200,1.62,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.25,0.00,1.00,0.00,1.00,1.33,1.00,1.00,1.00,1.00,0.00, 
seq201,0.00,1.29,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.44,0.00,1.33,1.00,0.00,1.00, 
seq202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,1.00,0.00, 
seq203,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq204,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00, 
seq207,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq208,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.50,1.00,1.00,0.00, 
seq209,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.67,1.33,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq210,1.00,1.29,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,1.50,0.00,0.00,1.67,0.00,0.00, 
seq211,1.33,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.40,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.67,0.00,0.00,0.00,1.33,0.00, 
seq213,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq214,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.00,0.00,0.00, 
seq215,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00, 
seq216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00, 
seq217,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq218,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq219,1.00,2.14,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.80,1.00,1.00,1.00,1.00,0.00,1.00,0.00, 
seq220,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq221,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq222,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.57,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq223,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq224,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq225,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,0.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq226,0.00,0.00,0.00,1.00,1.67,1.33,0.00,1.00,1.22,1.40,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq227,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.57,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00, 
seq228,6.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00,1.67,0.00,0.00,0.00,0.00,0.00, 
seq229,0.00,0.00,0.00,0.00,0.00,1.00,1.40,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq230,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.25,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00, 
seq231,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.25,0.00,1.00,1.67,0.00,1.00,1.50,1.00,1.00,0.00,0.00, 
seq232,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.44,1.00,1.00,0.00,1.00,1.00,1.50,1.00,1.00,0.00,0.00, 
seq233,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.22,0.00,1.00,1.67,0.00,1.00,1.00,1.00,1.00,0.00,0.00, 
seq234,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.40,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00, 
seq235,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.50, 
seq236,0.00,1.55,0.00,0.00,1.00,1.40,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq237,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.40,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00, 
seq238,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.44,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00, 
seq239,0.00,1.00,0.00,0.00,1.00,1.67,0.00,1.00,0.00,1.50,1.00,1.00,0.00,1.67,1.50,0.00,1.00,1.00,0.00,1.00, 
seq240,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.67,0.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq241,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.50,0.00,1.00,0.00,1.00,1.00,1.00,1.67,1.00,0.00,0.00, 
seq242,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.50,1.50,0.00,0.00,0.00,0.00,1.50,1.00,0.00,1.00,0.00,0.00, 
seq243,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.40,1.00,1.00,0.00,1.00, 
seq244,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.40,1.00,0.00,1.00, 
seq245,1.50,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00, 
seq246,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq247,0.00,0.00,0.00,0.00,1.33,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00, 
seq248,0.00,0.00,1.67,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.67,1.00,1.00,1.00,2.14, 
seq249,1.67,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.50,1.00,1.00, 
seq250,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,2.00,1.00,0.00,1.00, 
seq251,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.67,0.00,0.00,0.00,1.00,1.00,0.00,1.50, 
seq252,1.67,0.00,0.00,1.00,0.00,0.00,0.00,1.67,2.11,1.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00, 
seq253,1.67,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00, 
seq254,1.67,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.44,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00, 
seq255,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.57,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq256,1.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.50,1.57,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq257,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq258,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.67,1.67,0.00,0.00,1.00,0.00,1.67,0.00,0.00,1.00,0.00,0.00, 
seq259,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.36,1.00,1.25,1.00,1.00,1.00,1.00,1.00,1.67,0.00,1.33, 
seq260,1.00,1.29,0.00,1.00,1.00,1.00,1.50,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.50,0.00,0.00,1.00,0.00,1.00, 
seq261,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.50,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00, 
seq262,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.50,0.00,1.00,1.00,0.00,1.00,1.00,1.50,1.00,1.00,1.00, 
seq263,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.50,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq264,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.25,1.00,0.00,1.00,0.00,1.40, 
seq265,1.00,1.29,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.40,0.00,1.00,0.00,1.00,1.00, 
seq266,1.77,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.33,1.29,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00, 
seq267,1.00,1.29,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00, 
seq268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.40,1.00,0.00,1.00,0.00,1.00,0.00,0.00, 
seq269,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00, 
seq270,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq271,1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00, 
seq272,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.50,1.33,0.00,1.44,1.00,1.00,0.00,1.00, 
seq273,1.18,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.67,1.00,1.00,0.00,0.00, 
seq274,1.00,1.00,1.00,1.00,0.00,1.50,1.00,1.00,1.00,1.40,0.00,1.67,0.00,1.29,1.00,0.00,1.00,1.00,1.00,1.00, 
seq275,0.00,1.00,1.00,1.00,1.00,1.22,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00, 
seq276,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.50,0.00,0.00,1.00,0.00,0.00, 
seq277,1.00,0.00,1.00,1.55,1.00,0.00,0.00,1.00,1.67,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00, 
seq278,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00, 
seq279,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00, 
seq280,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.67,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00, 
seq281,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.33,0.00,0.00, 
seq282,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.67,1.00,0.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00, 
seq283,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00, 
seq284,1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.50,1.67,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00, 
seq285,1.00,0.00,1.00,1.00,1.00,2.00,0.00,1.50,1.67,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00, 
seq286,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.40,1.91,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq287,1.00,0.00,1.00,1.40,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.67,1.29,1.67,0.00,1.00,0.00, 
seq288,1.00,0.00,0.00,0.00,0.00,1.33,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00, 
seq289,0.00,1.00,0.00,1.00,1.00,2.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.40,0.00,0.00, 
seq290,0.00,1.40,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.40,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.50,0.00,0.00, 
seq291,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.67,0.00,1.00, 
seq292,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.40,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00, 
seq293,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.50,0.00,1.00,0.00,0.00, 
seq294,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.67,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00, 
seq295,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,3.00,0.00,0.00,1.00,1.00,0.00,1.50,0.00,0.00,0.00,0.00,1.00, 
seq296,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq297,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq298,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.50,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq299,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.50,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq300,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq301,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq302,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00, 
seq303,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq304,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.50,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00, 
seq305,1.00,0.00,0.00,0.00,1.50,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00, 
seq306,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,0.00,2.33,1.00,0.00,0.00, 
seq307,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.67,1.00,0.00, 
seq308,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,1.50,0.00,0.00,1.50,1.00,0.00,1.00,0.00, 
seq309,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00, 
seq310,1.00,1.00,0.00,0.00,1.00,1.50,0.00,0.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00, 
seq311,1.00,1.00,0.00,1.00,1.00,1.50,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00, 
seq312,1.00,1.00,0.00,0.00,1.00,1.50,0.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00, 
seq313,1.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00, 
seq314,1.67,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00, 
seq315,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.40,1.00,0.00,1.00,0.00,0.00, 
seq316,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.40,0.00,0.00,1.00,0.00,0.00, 
seq317,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.67,0.00,1.00, 
seq318,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00, 
seq319,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,1.00,0.00,2.00,1.00,1.00,0.00,0.00, 
