ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq163,0.00,0.00,0.00,12.71,17.04,22.04,0.00,7.57,10.19,8.29,10.61,14.54,0.00,12.04,18.54,9.30,0.00,11.54,6.50,0.00
seq164,0.00,0.00,0.00,12.71,17.04,22.04,0.00,7.57,18.54,8.29,10.61,14.54,0.00,12.04,9.81,9.30,0.00,11.54,6.50,0.00
seq165,6.92,0.00,6.92,9.38,8.00,11.08,0.00,3.27,5.08,11.08,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,9.38,0.00
seq166,6.92,0.00,6.92,0.00,7.08,11.08,5.69,6.15,4.08,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,5.42,9.38,0.00
seq167,0.00,0.00,0.00,0.00,0.00,6.50,0.00,15.26,0.00,2.67,0.00,0.00,13.25,0.00,7.17,9.05,9.25,4.28,0.00,0.00
seq168,8.96,0.00,0.00,17.04,0.00,6.19,0.00,7.83,2.95,7.89,0.00,0.00,0.00,0.00,0.00,0.00,13.54,12.04,14.54,0.00
seq169,4.41,0.00,26.24,4.91,0.00,0.00,0.00,11.53,23.82,15.58,36.03,24.97,0.00,18.81,8.46,0.00,34.13,0.00,27.89,20.24
seq170,4.41,0.00,26.24,14.23,0.00,0.00,18.13,11.53,23.82,12.68,31.35,9.86,0.00,18.81,24.97,0.00,34.13,0.00,27.89,20.24
seq171,0.00,0.00,26.24,6.58,0.00,0.00,18.13,11.53,23.82,12.68,31.35,9.54,0.00,17.66,24.97,11.58,18.86,0.00,27.89,20.24
seq172,13.29,0.00,0.00,0.00,5.60,0.00,0.00,8.00,7.65,5.20,0.00,0.00,0.00,0.00,3.79,12.31,0.00,8.59,0.00,9.41
seq173,4.97,0.00,26.24,4.91,0.00,0.00,0.00,8.17,23.82,12.00,0.00,0.00,0.00,18.38,8.46,0.00,35.03,0.00,27.89,20.24
seq174,0.00,0.00,26.24,2.89,0.00,0.00,0.00,11.53,23.82,15.58,0.00,13.78,0.00,17.66,8.46,11.58,19.36,0.00,27.89,20.24
seq175,0.00,0.00,0.00,0.00,6.32,4.86,5.95,11.14,0.00,14.78,0.00,10.87,0.00,17.57,12.70,16.09,0.00,6.75,0.00,0.00
seq176,11.41,0.00,23.64,6.67,37.03,0.00,0.00,15.71,8.58,8.97,0.00,18.72,0.00,7.70,0.00,28.56,24.72,0.00,21.26,19.33
seq177,20.29,0.00,27.14,11.71,21.03,15.50,8.79,15.14,27.14,24.51,0.00,0.00,11.85,0.00,8.00,10.36,0.00,17.97,22.03,15.62
seq178,5.82,0.00,0.00,29.15,16.78,7.39,0.00,25.76,0.00,8.48,13.16,0.00,0.00,24.66,15.91,11.91,11.68,22.85,0.00,0.00
seq179,11.33,0.00,17.26,29.37,0.00,16.57,0.00,9.16,10.61,16.57,0.00,9.27,0.00,9.64,29.37,8.91,26.17,5.77,0.00,23.43
seq180,9.35,0.00,12.97,16.38,0.00,24.74,0.00,8.34,10.16,14.97,0.00,13.56,0.00,13.64,14.03,11.47,16.51,15.45,0.00,0.00
seq181,6.50,0.00,10.85,10.73,0.00,0.00,0.00,11.33,7.16,14.03,0.00,19.31,0.00,13.27,10.85,12.97,18.57,15.91,0.00,0.00
seq182,21.14,0.00,11.33,11.66,0.00,26.17,31.14,10.41,7.22,8.91,0.00,10.61,0.00,19.32,16.74,5.35,0.00,0.00,14.62,0.00
seq183,9.15,0.00,17.26,27.71,0.00,17.03,0.00,8.47,11.09,16.03,0.00,10.48,0.00,10.85,23.43,9.91,21.14,7.68,0.00,29.37
seq184,12.50,0.00,9.76,9.78,0.00,0.00,0.00,10.41,11.82,8.41,0.00,13.34,21.14,33.03,26.74,5.74,0.00,26.17,23.43,0.00
seq185,9.15,0.00,16.74,20.62,0.00,20.17,0.00,7.61,10.47,14.26,0.00,11.21,0.00,14.62,18.50,12.13,17.43,11.66,0.00,0.00
seq186,5.32,0.00,12.32,8.91,0.00,0.00,0.00,10.48,8.09,11.09,0.00,24.74,0.00,14.67,11.44,16.03,18.26,16.00,0.00,0.00
seq187,9.88,9.21,0.00,0.00,20.21,11.60,0.00,12.24,8.26,19.52,13.52,0.00,12.24,13.52,9.33,12.80,15.44,18.00,9.88,0.00
seq188,8.65,0.00,34.36,27.91,11.07,18.84,19.20,35.91,0.00,5.18,0.00,0.00,15.21,29.02,10.93,23.75,21.57,10.39,0.00,15.48
seq189,6.00,13.65,0.00,0.00,11.91,13.54,0.00,8.09,7.33,7.68,0.00,0.00,8.87,0.00,0.00,0.00,17.04,8.14,0.00,0.00
seq190,0.00,0.00,0.00,0.00,4.77,5.42,11.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.93,0.00,6.67,9.87,0.00,4.15
seq191,6.95,0.00,0.00,14.78,5.24,4.32,12.70,13.59,4.95,13.65,17.57,0.00,0.00,0.00,0.00,11.14,0.00,12.70,0.00,0.00
seq192,3.69,0.00,0.00,0.00,17.05,17.05,8.63,12.32,0.00,5.29,0.00,9.47,0.00,0.00,6.50,12.32,8.94,0.00,8.63,8.95
seq193,0.00,0.00,0.00,3.54,9.87,0.00,7.79,11.33,13.07,7.07,0.00,0.00,7.73,0.00,7.73,0.00,7.07,4.79,0.00,6.67
seq194,0.00,0.00,0.00,0.00,0.00,0.00,16.06,0.00,3.33,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,2.21,0.00
seq195,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.77,0.00,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,2.80,0.00
seq196,6.67,0.00,0.00,6.67,4.93,0.00,0.00,7.07,13.07,7.73,0.00,0.00,0.00,8.67,7.07,7.79,7.85,0.00,0.00,13.07
seq197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.15,3.87,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,0.00,0.00
seq198,0.00,0.00,0.00,0.00,0.00,6.12,0.00,0.00,3.33,7.53,0.00,0.00,0.00,0.00,1.09,0.00,6.12,0.00,0.00,0.00
seq199,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,7.53,0.00,0.00,0.00,0.00,1.09,0.00,0.00,0.00,2.80,0.00
seq200,5.53,22.63,10.31,0.00,35.32,0.00,27.76,27.76,30.49,7.49,0.00,19.56,0.00,29.07,15.08,18.56,8.61,20.29,37.12,0.00
seq201,0.00,7.04,0.00,0.00,8.34,14.77,0.00,12.17,0.00,14.58,0.00,18.65,15.10,17.68,5.52,0.00,6.67,20.97,0.00,10.97
seq202,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,2.80,0.00
seq203,0.00,0.00,0.00,0.00,0.00,10.81,0.00,0.00,2.77,0.00,0.00,0.00,0.00,0.00,0.89,0.00,5.73,0.00,7.81,0.00
seq204,0.00,0.00,0.00,0.00,0.00,5.20,0.00,0.00,2.77,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,5.73,0.00
seq205,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.77,0.00,0.00,0.00,0.00,0.00,0.89,0.00,0.00,0.00,2.46,0.00
seq206,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.94,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,2.31,0.00
seq207,5.68,0.00,0.00,10.00,32.14,24.36,11.37,17.14,0.00,3.11,0.00,0.00,0.00,7.21,11.32,18.14,34.03,17.43,0.00,25.69
seq208,6.53,0.00,7.07,0.00,7.73,0.00,0.00,0.00,6.50,0.00,0.00,0.00,6.36,0.00,13.07,0.00,6.92,4.36,5.79,0.00
seq209,0.00,0.00,0.00,0.00,6.32,4.86,0.00,11.14,4.11,14.78,0.00,10.87,0.00,17.57,0.00,16.09,0.00,6.75,0.00,0.00
seq210,10.90,6.68,0.00,16.06,15.76,12.34,21.58,15.59,0.00,10.23,0.00,0.00,11.59,0.00,5.12,0.00,0.00,30.03,0.00,0.00
seq211,11.70,16.38,24.06,19.82,17.79,0.00,22.48,26.74,19.32,9.10,18.50,10.91,0.00,12.91,10.97,12.61,12.30,21.32,13.33,32.03
seq212,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.08,6.15,9.38,0.00,0.00,2.36,0.00,10.08,0.00,0.00,0.00,1.78,0.00
seq213,1.87,0.00,0.00,0.00,0.00,7.05,0.00,6.85,3.83,14.65,17.24,0.00,0.00,0.00,0.00,14.19,0.00,11.90,0.00,0.00
seq214,7.39,0.00,0.00,0.00,15.71,6.55,0.00,9.65,4.53,6.57,0.00,0.00,0.00,0.00,0.00,0.00,17.57,11.04,0.00,0.00
seq215,2.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.84,2.63,0.00,0.00,0.00,0.00,0.00,2.63,0.00,0.00,0.00,0.00
seq216,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,1.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
seq217,8.17,12.72,8.63,11.16,0.00,0.00,7.83,9.47,0.00,0.00,15.26,0.00,0.00,4.12,8.72,6.39,13.68,17.05,0.00,0.00
seq218,7.31,10.81,7.65,0.00,0.00,0.00,6.31,8.59,0.00,0.00,13.29,0.00,0.00,6.31,7.06,5.81,11.76,15.06,0.00,0.00
seq219,7.33,15.88,15.24,0.00,0.00,0.00,0.00,0.00,11.25,16.00,16.00,0.00,4.15,14.14,14.62,6.89,19.10,0.00,23.45,0.00
seq220,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.68,5.20,0.00,0.00,8.63,0.00,17.05,0.00,0.00,5.79,0.00,0.00
seq221,2.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,4.10,0.00,0.00,11.08,0.00,10.08,0.00,0.00,5.69,0.00,0.00
seq222,3.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.93,2.73,0.00,0.00,6.36,0.00,12.07,0.00,0.00,6.53,0.00,0.00
seq223,3.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,4.91,0.00,0.00,6.15,0.00,11.08,0.00,0.00,6.07,0.00,0.00
seq224,4.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.18,3.33,0.00,0.00,10.08,0.00,9.09,0.00,0.00,5.42,0.00,0.00
seq225,3.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.87,3.82,0.00,0.00,0.00,0.00,13.07,0.00,0.00,4.53,0.00,0.00
seq226,0.00,0.00,0.00,14.34,18.48,10.57,0.00,9.22,4.07,9.87,0.00,17.79,25.64,12.26,26.74,0.00,0.00,23.79,0.00,0.00
seq227,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.45,1.88,0.00,0.00,0.00,0.00,10.08,0.00,0.00,5.08,0.00,0.00
seq228,3.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.08,0.00,0.00,0.00,0.00,0.00,10.08,0.00,0.00,0.00,0.00,0.00
seq229,0.00,0.00,0.00,0.00,0.00,1.56,2.50,0.00,0.00,0.00,0.00,0.00,0.00,5.69,0.00,6.92,0.00,4.75,0.00,0.00
seq230,14.97,0.00,0.00,15.32,26.17,6.97,0.00,6.59,8.07,23.79,19.31,14.62,18.57,0.00,14.97,0.00,0.00,10.06,31.14,0.00
seq231,13.39,0.00,10.41,9.72,0.00,12.18,0.00,12.26,16.15,4.55,0.00,14.26,26.74,0.00,20.17,20.06,17.03,17.94,0.00,0.00
seq232,11.70,0.00,9.03,10.59,0.00,18.26,0.00,12.32,12.42,4.90,31.14,17.56,0.00,23.43,23.44,19.82,22.23,24.74,0.00,0.00
seq233,17.03,0.00,9.39,11.58,0.00,9.52,31.14,10.00,20.62,4.68,0.00,14.97,21.32,0.00,16.03,19.31,16.57,16.57,0.00,0.00
seq234,11.76,0.00,0.00,0.00,10.69,0.00,0.00,5.56,4.67,3.36,0.00,0.00,0.00,0.00,5.56,5.06,0.00,9.41,0.00,0.00
seq235,0.00,17.48,0.00,22.04,8.43,14.54,0.00,0.00,4.48,11.54,17.04,0.00,11.91,11.21,8.09,0.00,15.71,7.39,18.54,6.77
seq236,0.00,2.53,0.00,0.00,11.90,4.95,0.00,9.24,16.59,0.00,0.00,0.00,10.23,0.00,11.52,0.00,10.05,13.86,0.00,0.00
seq237,9.90,0.00,0.00,0.00,7.26,4.72,4.53,5.83,6.05,8.15,11.90,0.00,0.00,0.00,0.00,0.00,0.00,19.05,0.00,0.00
seq238,0.00,14.43,21.20,16.64,0.00,0.00,0.00,11.52,0.00,7.16,0.00,0.00,0.00,0.00,6.05,16.88,0.00,6.35,10.38,12.80
seq239,0.00,11.04,0.00,0.00,10.21,13.54,0.00,12.24,0.00,10.00,11.88,12.80,0.00,13.54,8.09,0.00,10.46,12.26,0.00,15.44
seq240,14.46,16.04,22.46,0.00,0.00,0.00,7.76,24.18,0.00,6.29,20.89,0.00,16.64,0.00,7.73,13.46,18.18,10.12,10.89,0.00
seq241,11.03,0.00,16.74,11.09,16.57,26.17,20.17,11.21,8.85,10.91,0.00,9.09,0.00,16.03,16.57,7.42,32.03,14.26,0.00,0.00
seq242,15.06,0.00,0.00,0.00,5.56,5.20,0.00,0.00,11.33,5.20,0.00,0.00,0.00,0.00,8.40,13.29,0.00,10.47,0.00,0.00
seq243,7.53,9.41,0.00,0.00,0.00,5.56,0.00,5.19,13.29,8.00,0.00,0.00,0.00,0.00,0.00,4.21,8.56,5.56,0.00,10.47
seq244,13.25,18.05,5.83,9.05,13.25,9.25,0.00,10.25,10.25,11.05,12.05,9.05,18.05,0.00,0.00,0.00,6.35,14.65,0.00,9.65
seq245,7.83,11.05,0.00,16.25,12.05,7.89,0.00,12.05,0.00,6.42,0.00,9.05,0.00,8.72,9.05,6.63,10.25,0.00,0.00,16.25
seq246,7.89,11.05,4.72,0.00,0.00,0.00,10.25,9.65,0.00,14.65,0.00,12.05,18.05,10.84,0.00,9.05,5.28,7.68,0.00,18.05
seq247,0.00,0.00,0.00,0.00,3.73,9.39,0.00,8.95,0.00,0.00,0.00,6.39,0.00,10.21,11.16,8.06,5.61,12.61,8.53,0.00
seq248,0.00,0.00,9.39,8.63,6.50,5.06,0.00,0.00,8.63,0.00,0.00,0.00,0.00,11.16,0.00,11.39,9.47,12.32,8.53,12.31
seq249,9.62,0.00,0.00,0.00,6.76,9.90,5.95,0.00,0.00,9.24,13.86,0.00,7.52,10.59,0.00,12.77,18.23,10.45,20.05,18.23
seq250,13.42,0.00,0.00,12.81,18.13,31.30,0.00,9.31,12.70,15.08,0.00,9.91,0.00,6.06,0.00,18.36,20.68,23.41,0.00,21.82
seq251,12.11,6.63,0.00,14.65,0.00,9.05,0.00,14.65,12.05,11.05,9.65,13.25,8.95,0.00,0.00,0.00,6.11,17.05,0.00,8.17
seq252,12.07,0.00,0.00,11.33,0.00,0.00,0.00,6.07,3.27,5.54,0.00,0.00,0.00,0.00,0.00,13.07,0.00,0.00,0.00,8.67
seq253,8.93,6.67,6.67,0.00,0.00,9.87,0.00,0.00,7.79,3.08,0.00,11.33,0.00,7.73,8.67,0.00,0.00,0.00,0.00,13.07
seq254,12.32,0.00,0.00,0.00,5.61,7.68,11.05,7.89,3.36,6.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.25,0.00
seq255,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.72,5.06,0.00,0.00,18.05,0.00,17.05,0.00,0.00,5.79,0.00,0.00
seq256,2.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.72,5.19,0.00,0.00,18.05,0.00,17.05,0.00,0.00,5.79,0.00,0.00
seq257,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.72,4.50,0.00,0.00,8.06,0.00,16.06,0.00,0.00,5.50,0.00,0.00
seq258,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.87,2.73,0.00,0.00,6.67,0.00,13.07,0.00,0.00,7.06,0.00,0.00
seq259,17.75,26.52,59.63,26.04,54.34,19.89,41.64,38.30,23.92,21.01,66.40,56.24,31.89,57.62,26.72,13.91,92.25,31.62,0.00,31.84
seq260,14.43,7.20,0.00,14.03,16.03,8.96,8.96,14.17,0.00,20.03,0.00,0.00,18.83,14.17,9.92,0.00,0.00,14.43,0.00,9.18
seq261,3.75,5.42,9.38,0.00,0.00,0.00,6.92,6.92,0.00,3.45,0.00,9.38,0.00,0.00,0.00,0.00,11.08,8.00,0.00,0.00
seq262,16.64,13.54,21.20,18.00,11.84,0.00,7.54,18.00,0.00,11.04,0.00,8.21,11.52,0.00,16.64,9.88,8.09,19.52,21.20,15.71
seq263,4.93,4.53,7.73,0.00,0.00,0.00,9.56,7.06,0.00,6.36,0.00,12.31,0.00,0.00,10.81,0.00,11.33,7.31,0.00,0.00
seq264,16.73,6.00,0.00,0.00,0.00,7.59,20.26,0.00,16.24,15.94,0.00,0.00,0.00,0.00,5.75,13.28,0.00,14.97,0.00,10.45
seq265,10.15,7.20,0.00,14.43,24.43,7.54,0.00,7.68,0.00,20.03,0.00,0.00,18.83,16.83,6.67,0.00,14.43,0.00,21.37,8.75
seq266,7.15,0.00,0.00,0.00,0.00,20.89,0.00,0.00,7.29,4.43,0.00,14.74,0.00,0.00,0.00,0.00,19.46,8.42,22.46,0.00
seq267,16.34,6.76,0.00,11.58,0.00,7.84,0.00,18.50,0.00,11.97,0.00,0.00,0.00,0.00,6.18,11.34,13.78,16.74,0.00,16.18
seq268,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.42,4.10,6.08,0.00,0.00,2.44,6.08,0.00,8.42,0.00,10.08,0.00,0.00
seq269,16.38,17.03,13.21,9.82,0.00,16.57,0.00,9.91,5.72,10.42,0.00,11.47,0.00,21.14,0.00,22.50,13.74,15.62,0.00,27.71
seq270,5.83,0.00,0.00,8.53,13.25,7.50,0.00,9.25,16.25,6.95,0.00,10.25,14.65,0.00,9.05,0.00,7.05,0.00,6.00,0.00
seq271,5.29,8.28,6.00,0.00,14.28,0.00,0.00,9.39,16.06,7.06,0.00,0.00,0.00,0.00,11.39,0.00,7.06,8.06,6.19,0.00
seq272,24.31,0.00,10.51,23.45,0.00,0.00,0.00,8.92,11.49,15.12,20.98,17.02,34.33,8.87,0.00,10.53,24.44,21.93,0.00,17.51
seq273,4.84,0.00,24.52,0.00,13.18,18.72,24.52,20.52,21.12,17.18,21.82,8.08,16.26,14.87,15.08,27.18,21.85,29.52,0.00,0.00
seq274,10.45,39.02,37.12,16.62,0.00,17.59,21.27,9.90,18.73,5.56,0.00,32.62,0.00,9.64,13.85,0.00,19.56,14.82,19.56,32.00
seq275,0.00,4.25,22.85,19.39,9.74,3.88,0.00,25.76,0.00,16.48,0.00,19.53,15.76,0.00,0.00,17.03,7.93,0.00,0.00,10.90
seq276,0.00,2.15,0.00,0.00,0.00,7.53,0.00,11.39,0.00,9.39,0.00,0.00,0.00,0.00,2.77,0.00,0.00,6.71,0.00,0.00
seq277,6.06,0.00,28.11,7.77,35.03,0.00,0.00,24.05,8.59,6.97,33.14,31.35,0.00,0.00,26.65,26.65,0.00,0.00,19.39,0.00
seq278,8.42,0.00,0.00,0.00,0.00,0.00,0.00,2.90,7.08,6.18,5.08,8.42,0.00,0.00,5.08,0.00,0.00,0.00,0.00,5.27
seq279,5.42,0.00,0.00,0.00,0.00,0.00,0.00,5.27,7.08,6.18,5.08,8.42,0.00,8.42,5.08,0.00,0.00,0.00,0.00,5.27
seq280,5.08,0.00,0.00,0.00,0.00,0.00,0.00,2.90,7.08,6.18,5.08,8.42,0.00,8.42,0.00,0.00,0.00,0.00,0.00,5.27
seq281,8.79,0.00,0.00,19.52,19.52,14.43,8.79,8.38,10.21,7.23,0.00,0.00,10.04,0.00,0.00,13.52,0.00,4.76,0.00,0.00
seq282,0.00,0.00,13.07,7.73,0.00,5.79,9.87,7.07,12.07,8.67,0.00,0.00,0.00,7.07,9.87,6.67,0.00,6.53,6.50,0.00
seq283,0.00,0.00,0.00,0.00,4.25,0.00,0.00,6.36,8.93,2.73,0.00,0.00,7.79,0.00,0.00,4.77,6.07,10.36,0.00,0.00
seq284,6.92,0.00,6.92,8.00,8.00,11.08,0.00,3.27,5.08,9.38,0.00,0.00,0.00,0.00,0.00,9.38,0.00,0.00,11.08,0.00
seq285,9.38,0.00,8.00,5.54,11.08,11.08,0.00,3.45,6.08,8.00,0.00,0.00,0.00,0.00,0.00,5.69,0.00,0.00,9.38,0.00
seq286,14.40,0.00,12.88,0.00,0.00,0.00,23.04,13.52,7.05,6.53,14.40,0.00,0.00,11.84,11.74,0.00,19.52,10.61,0.00,0.00
seq287,26.17,0.00,11.62,15.91,0.00,21.14,24.74,11.38,8.72,10.61,0.00,10.85,0.00,14.62,16.03,5.10,32.03,0.00,11.79,0.00
seq288,3.16,0.00,0.00,0.00,0.00,4.55,0.00,2.74,2.53,0.00,0.00,0.00,0.00,0.00,22.04,0.00,0.00,0.00,0.00,0.00
seq289,0.00,8.96,0.00,19.52,8.09,10.00,13.52,12.04,0.00,15.46,11.84,0.00,0.00,0.00,7.22,0.00,0.00,6.14,0.00,0.00
seq290,0.00,11.41,0.00,16.64,0.00,16.64,0.00,0.00,14.40,3.61,11.60,0.00,11.84,0.00,8.61,13.52,11.60,11.04,0.00,0.00
seq291,2.44,0.00,0.00,0.00,0.00,0.00,7.45,0.00,0.00,0.00,0.00,7.45,5.27,0.00,0.00,9.09,4.55,5.30,0.00,4.73
seq292,0.00,9.09,0.00,0.00,0.00,0.00,0.00,0.00,3.45,2.00,0.00,0.00,0.00,0.00,1.56,0.00,0.00,0.00,0.00,0.00
seq293,0.00,5.42,5.08,0.00,0.00,0.00,7.08,0.00,8.42,3.45,0.00,0.00,10.08,0.00,8.42,5.30,0.00,6.08,0.00,0.00
seq294,10.08,0.00,0.00,0.00,0.00,4.18,8.42,0.00,7.08,4.73,5.27,0.00,0.00,0.00,3.27,6.08,0.00,0.00,0.00,0.00
seq295,0.00,0.00,0.00,0.00,0.00,10.08,0.00,5.42,7.11,0.00,0.00,5.08,8.42,0.00,3.30,0.00,0.00,0.00,0.00,5.42
seq296,6.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.30,0.00,0.00,0.00,2.70,0.00,10.08,0.00,0.00,0.00
seq297,7.08,0.00,0.00,0.00,0.00,0.00,10.08,5.08,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq298,6.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,0.00,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq299,10.08,0.00,0.00,0.00,0.00,0.00,0.00,3.45,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq300,7.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.82,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq301,5.42,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.30,0.00,0.00,6.08,4.18,0.00,10.08,0.00,0.00,0.00
seq302,10.08,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,0.00,0.00,0.00,0.00
seq303,8.42,0.00,0.00,0.00,0.00,0.00,10.08,3.45,0.00,6.08,3.27,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq304,5.08,0.00,0.00,0.00,0.00,0.00,10.08,7.08,0.00,6.08,3.30,0.00,0.00,6.08,2.70,0.00,10.08,0.00,0.00,0.00
seq305,4.91,0.00,0.00,0.00,2.90,0.00,0.00,5.08,0.00,8.42,0.00,0.00,0.00,0.00,10.08,0.00,0.00,4.00,10.08,6.08
seq306,5.08,0.00,0.00,0.00,5.08,0.00,10.08,0.00,0.00,0.00,0.00,0.00,5.56,0.00,10.08,0.00,5.30,8.42,0.00,0.00
seq307,4.73,0.00,0.00,0.00,8.42,7.08,0.00,0.00,5.08,0.00,0.00,0.00,6.08,0.00,0.00,5.27,5.42,7.45,6.08,0.00
seq308,0.00,0.00,0.00,0.00,10.08,0.00,0.00,6.08,8.42,8.42,0.00,0.00,3.30,0.00,0.00,2.90,7.08,0.00,10.08,0.00
seq309,10.08,5.08,5.08,0.00,0.00,0.00,4.00,5.42,0.00,0.00,0.00,6.08,0.00,0.00,5.42,0.00,3.90,0.00,10.08,0.00
seq310,11.08,4.92,0.00,0.00,8.00,3.82,0.00,0.00,11.08,0.00,0.00,5.54,6.92,0.00,0.00,0.00,5.69,0.00,3.42,0.00
seq311,11.08,4.92,0.00,5.69,8.00,3.82,0.00,0.00,5.08,0.00,0.00,0.00,6.92,0.00,0.00,0.00,0.00,0.00,6.15,6.15
seq312,11.08,4.92,0.00,0.00,8.00,3.82,0.00,0.00,11.08,0.00,0.00,5.54,6.92,5.69,0.00,0.00,0.00,0.00,3.42,0.00
seq313,6.92,0.00,0.00,0.00,8.42,5.69,0.00,3.09,4.08,9.38,0.00,0.00,0.00,0.00,0.00,4.08,0.00,0.00,5.69,0.00
seq314,5.69,0.00,0.00,0.00,6.93,6.93,0.00,0.00,0.00,7.85,0.00,0.00,6.36,0.00,7.85,8.93,6.07,12.07,8.93,12.07
seq315,0.00,0.00,12.07,0.00,0.00,3.75,0.00,6.93,0.00,0.00,0.00,6.07,6.36,7.79,4.91,6.93,0.00,8.93,0.00,0.00
seq316,0.00,0.00,12.07,0.00,0.00,3.75,0.00,0.00,0.00,0.00,0.00,5.08,6.36,7.79,4.91,0.00,0.00,4.31,0.00,0.00
seq317,5.36,11.33,11.33,13.07,0.00,6.67,0.00,0.00,0.00,13.07,0.00,9.87,0.00,0.00,9.87,6.50,7.73,7.79,0.00,6.67
seq318,0.00,0.00,0.00,8.67,6.93,5.79,7.07,3.85,0.00,8.67,0.00,6.67,0.00,9.87,13.07,0.00,6.53,11.33,0.00,0.00
seq319,11.33,0.00,0.00,0.00,0.00,0.00,0.00,7.07,0.00,7.79,0.00,9.87,0.00,5.21,0.00,4.18,6.50,6.53,0.00,0.00
seq320,0.00,0.00,0.00,0.00,8.93,5.69,0.00,0.00,7.73,3.85,0.00,0.00,0.00,8.67,12.07,0.00,6.36,7.73,0.00,0.00
seq321,5.08,0.00,0.00,0.00,0.00,6.93,0.00,0.00,7.73,0.00,0.00,0.00,7.07,0.00,5.21,8.67,0.00,7.50,10.36,8.67
seq322,5.21,0.00,0.00,0.00,0.00,0.00,4.64,0.00,0.00,0.00,0.00,0.00,7.73,0.00,7.79,4.15,7.07,4.31,8.67,0.00
seq323,5.08,0.00,0.00,0.00,0.00,6.93,0.00,0.00,7.73,0.00,0.00,0.00,7.07,0.00,5.21,8.67,0.00,7.50,10.36,8.67
seq324,6.53,0.00,13.07,0.00,5.21,6.67,0.00,0.00,0.00,4.36,0.00,0.00,6.36,7.50,5.54,0.00,0.00,0.00,7.07,0.00
seq325,6.07,6.67,0.00,5.38,0.00,0.00,8.67,0.00,7.07,6.53,0.00,13.07,7.73,0.00,0.00,7.07,6.36,8.67,0.00,0.00
seq326,8.42,0.00,10.36,0.00,0.00,2.36,0.00,0.00,6.93,6.15,6.36,0.00,0.00,0.00,6.07,7.79,0.00,0.00,0.00,0.00
seq327,0.00,0.00,0.00,0.00,0.00,5.54,0.00,8.67,6.53,6.07,0.00,0.00,7.85,0.00,11.33,3.69,0.00,0.00,0.00,7.07
