ID,PAAC2_A,PAAC2_C,PAAC2_D,PAAC2_E,PAAC2_F,PAAC2_G,PAAC2_H,PAAC2_I,PAAC2_K,PAAC2_L,PAAC2_M,PAAC2_N,PAAC2_P,PAAC2_Q,PAAC2_R,PAAC2_S,PAAC2_T,PAAC2_V,PAAC2_W,PAAC2_Y,PAAC2_lam1,PAAC2_lam2
seq130,1.7457,2.6186,0.8729,0.0,0.8729,0.8729,0.0,0.0,0.0,1.7457,0.0,0.8729,2.6186,0.8729,0.0,0.0,0.8729,1.7457,1.7457,0.0,0.0669,0.0602
seq131,1.7361,4.3404,0.0,0.8681,0.0,2.6042,0.0,2.6042,0.8681,0.8681,0.0,0.8681,1.7361,0.0,0.8681,2.6042,0.0,1.7361,0.8681,0.8681,0.0592,0.0727
seq132,0.0,1.6773,1.6773,0.0,0.0,1.6773,0.0,0.0,0.0,1.6773,0.0,1.6773,1.6773,0.0,0.8386,0.0,0.8386,2.5159,2.5159,0.0,0.0916,0.0698
seq133,10.3307,0.0,0.7947,3.9733,0.7947,0.0,0.0,0.7947,2.384,3.1787,0.7947,0.7947,0.0,0.0,0.7947,0.7947,0.0,0.0,3.9733,0.0,0.1054,0.0999
seq134,5.4386,0.0,0.7769,6.2155,0.7769,0.0,0.0,0.7769,4.6616,3.1078,0.7769,0.7769,0.0,0.0,0.7769,0.7769,0.0,0.0,3.8847,0.0,0.0964,0.1266
seq135,1.6709,0.8355,0.8355,0.0,0.8355,1.6709,0.8355,0.8355,0.0,0.0,0.0,0.0,1.6709,0.8355,0.0,0.0,0.8355,2.5064,3.3418,0.0,0.0915,0.073
seq136,0.8371,0.0,0.0,0.0,0.0,1.6743,1.6743,0.8371,0.0,0.0,3.3485,1.6743,0.8371,0.0,0.8371,0.0,0.8371,0.0,0.8371,0.8371,0.0751,0.0878
seq137,0.7777,0.0,0.0,0.0,0.0,0.0,0.0,2.333,0.7777,0.7777,0.7777,0.7777,0.0,0.7777,0.7777,0.0,0.0,0.0,0.0,1.5553,0.0983,0.1241
seq138,0.7657,0.0,0.0,0.0,0.0,0.0,0.0,2.2972,0.7657,1.5314,0.0,0.7657,0.0,0.7657,0.7657,0.0,0.0,0.0,0.0,1.5314,0.0991,0.1352
seq139,0.7812,0.0,0.0,0.0,0.0,0.0,0.0,1.5623,0.7812,1.5623,0.7812,0.7812,0.0,0.7812,0.7812,0.0,0.0,0.0,0.0,1.5623,0.1032,0.1156
seq140,0.7837,0.0,0.0,0.0,0.0,0.0,0.0,2.3511,0.7837,1.5674,0.7837,0.7837,0.0,0.7837,0.7837,0.0,0.0,0.0,0.0,0.7837,0.0904,0.1259
seq141,0.8108,0.0,0.0,0.0,0.0,0.0,0.0,2.4324,0.0,1.6216,0.8108,0.8108,0.0,0.8108,0.8108,0.0,0.0,0.0,0.0,1.6216,0.0945,0.0947
seq142,0.7731,0.0,0.0,0.0,0.0,0.0,0.0,2.3194,0.7731,1.5463,0.7731,0.0,0.0,0.7731,0.7731,0.0,0.0,0.0,0.0,1.5463,0.0981,0.1288
seq143,0.7889,0.0,0.0,0.0,0.0,0.0,0.0,1.5777,0.7889,1.5777,0.7889,0.7889,0.0,0.7889,0.7889,0.0,0.0,0.0,0.0,1.5777,0.0909,0.1203
seq144,0.8575,0.0,0.8575,3.4298,0.8575,0.0,0.8575,1.7149,1.7149,5.1447,0.0,2.5724,0.0,5.1447,0.0,3.4298,0.8575,0.0,2.5724,0.8575,0.0633,0.0792
seq145,0.8547,0.0,0.8547,4.2733,0.8547,0.0,0.0,1.7093,1.7093,5.128,0.0,2.564,0.0,5.128,0.0,3.4187,0.8547,0.0,2.564,0.8547,0.0666,0.0787
seq146,6.7575,0.0,0.8447,0.0,0.0,3.3787,0.8447,0.8447,3.3787,4.2234,1.6894,0.0,0.0,1.6894,0.0,0.8447,3.3787,0.0,0.8447,0.0,0.0671,0.0882
seq147,4.3082,0.0,0.0,0.8616,1.7233,1.7233,1.7233,0.8616,0.8616,1.7233,0.0,0.0,0.8616,0.0,0.0,0.0,0.0,3.4465,0.0,0.0,0.0618,0.0765
seq148,1.7743,0.0,0.0,0.8871,0.0,1.7743,2.6614,0.8871,0.8871,4.4357,0.0,0.0,1.7743,0.0,0.0,1.7743,0.0,5.3228,0.0,0.0,0.0457,0.0671
seq149,0.7767,0.7767,0.0,0.0,0.0,0.7767,0.7767,0.0,0.0,2.3302,0.0,0.7767,0.0,1.5535,4.6605,0.0,0.0,0.0,0.0,0.0,0.0961,0.1272
seq150,0.0,0.0,0.0,0.8003,0.0,0.0,0.0,0.0,1.6006,0.0,0.0,0.0,0.0,0.8003,1.6006,0.8003,0.8003,0.8003,0.8003,0.8003,0.1045,0.0952
seq151,0.0,0.0,0.0,0.0,2.1691,0.723,0.0,1.446,2.1691,1.446,0.0,0.0,0.0,0.0,0.723,0.0,0.0,0.723,0.0,0.0,0.1094,0.1676
seq152,0.0,0.0,0.0,0.0,2.3831,2.3831,3.1774,2.3831,0.7944,0.7944,0.0,0.0,0.0,0.0,1.5887,0.0,1.5887,2.3831,0.0,0.0,0.085,0.1207
seq153,2.4057,0.0,0.8019,0.0,1.6038,1.6038,0.0,0.0,3.2077,3.2077,0.0,0.0,0.0,0.0,0.0,0.0,0.8019,1.6038,0.0,0.0,0.0858,0.1122
seq154,0.7581,0.0,0.7581,0.7581,0.7581,0.7581,0.0,2.2744,1.5163,0.7581,0.0,0.0,0.0,0.0,0.0,0.7581,0.0,0.0,0.7581,0.0,0.1048,0.13699999999999998
seq155,0.8272,0.0,0.0,0.0,0.8272,0.8272,0.8272,0.8272,3.3088,2.4816,1.6544,0.0,0.8272,0.0,0.0,0.8272,0.0,1.6544,0.0,0.0,0.0761,0.0966
seq156,0.0,0.0,1.6358,1.6358,1.6358,0.8179,0.0,1.6358,0.0,1.6358,0.0,1.6358,0.0,1.6358,0.0,0.0,0.0,1.6358,0.0,0.0,0.0775,0.1045
seq157,1.725,0.0,0.0,0.0,0.0,2.5875,0.0,2.5875,2.5875,3.45,0.0,0.0,0.8625,1.725,1.725,0.8625,1.725,1.725,0.8625,0.0,0.0633,0.0742
seq158,0.764,0.0,0.764,0.764,0.764,0.764,0.0,2.2921,1.528,0.764,0.0,0.0,0.0,0.0,0.0,0.764,0.0,0.0,0.764,0.0,0.098,0.138
seq159,0.7871,0.0,0.7871,0.0,0.7871,2.3614,0.0,2.3614,2.3614,1.5742,0.7871,0.7871,0.0,0.7871,0.0,0.7871,0.7871,0.7871,0.7871,0.0,0.0961,0.1168
seq160,0.75,0.0,0.75,0.75,0.75,0.75,0.0,2.2499,1.4999,0.75,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.1015,0.1486
seq161,0.9034,0.0,0.0,0.0,0.9034,3.6137,1.8069,0.9034,0.0,3.6137,0.0,0.0,0.9034,0.0,0.0,1.8069,0.0,4.5172,0.0,0.0,0.0409,0.0556
seq162,0.0,0.0,0.0,0.0,0.0,2.0009,0.0,0.0,0.0,6.0026,0.0,0.0,0.0,0.0,4.6687,0.0,0.0,0.0,0.0,0.0,0.1335,0.1995
seq163,0.0,0.0,0.0,0.8183,0.8183,0.8183,0.0,1.6366,3.2732,3.2732,1.6366,0.8183,0.0,0.8183,0.8183,1.6366,0.0,0.8183,2.4549,0.0,0.0975,0.0841
seq164,0.0,0.0,0.0,0.7926,0.7926,0.7926,0.0,1.5852,0.7926,3.1704,1.5852,0.7926,0.0,0.7926,3.1704,1.5852,0.0,0.7926,2.3778,0.0,0.1153,0.0921
seq165,0.7564,0.0,0.7564,0.7564,0.7564,0.7564,0.0,2.2692,1.5128,0.7564,0.0,0.0,0.0,0.0,0.0,0.7564,0.0,0.0,0.7564,0.0,0.1051,0.1385
seq166,0.7328,0.0,0.7328,0.0,1.4657,0.7328,0.7328,0.7328,1.4657,0.0,0.0,0.0,0.0,0.0,0.7328,0.0,0.0,1.4657,0.7328,0.0,0.1136,0.1536
seq167,0.0,0.0,0.0,0.0,0.0,2.4246,0.0,1.6164,0.0,4.8493,0.0,0.0,0.8082,0.0,2.4246,0.8082,0.8082,2.4246,0.0,0.0,0.0747,0.1171
seq168,1.5819,0.0,0.0,0.791,0.0,3.1639,0.0,1.5819,4.7458,4.7458,0.0,0.0,0.0,0.0,0.0,0.0,0.791,0.791,0.791,0.0,0.1057,0.1034
seq169,7.6727,0.0,0.7673,5.3709,0.0,0.0,0.0,2.3018,0.7673,2.3018,0.7673,0.7673,0.0,2.3018,3.0691,0.0,0.7673,0.0,1.5345,0.7673,0.1121,0.1206
seq170,8.4274,0.0,0.8427,3.371,0.0,0.0,0.8427,2.5282,0.8427,4.2137,1.6855,2.5282,0.0,2.5282,0.8427,0.0,0.8427,0.0,1.6855,0.8427,0.0744,0.0829
seq171,0.0,0.0,0.8567,6.8539,0.0,0.0,0.8567,2.5702,0.8567,4.2837,1.7135,3.427,0.0,3.427,0.8567,2.5702,1.7135,0.0,1.7135,0.8567,0.0687,0.0745
seq172,0.7023,0.0,0.0,0.0,2.107,0.0,0.0,0.7023,0.7023,2.107,0.0,0.0,0.0,0.0,2.8093,1.4046,0.0,0.7023,0.0,0.7023,0.1268,0.1709
seq173,6.0019,0.0,0.7502,5.2517,0.0,0.0,0.0,3.0009,0.7502,4.5014,0.0,0.0,0.0,1.5005,3.0009,0.0,1.5005,0.0,1.5005,0.7502,0.1205,0.1292
seq174,0.0,0.0,0.7989,8.7879,0.0,0.0,0.0,2.3967,0.7989,2.3967,0.0,1.5978,0.0,3.1956,3.1956,2.3967,2.3967,0.0,1.5978,0.7989,0.0971,0.10400000000000001
seq175,0.0,0.0,0.0,0.0,4.1106,2.4664,3.2885,1.6443,0.0,0.8221,0.0,0.8221,0.0,0.8221,0.8221,0.8221,0.0,3.2885,0.0,0.0,0.0871,0.0908
seq176,2.448,0.0,0.816,5.712,0.816,0.0,0.0,1.632,3.264,4.08,0.0,0.816,0.0,5.712,0.0,0.816,0.816,0.0,4.08,0.816,0.0973,0.0867
seq177,1.6206,0.0,0.8103,1.6206,0.8103,2.4309,3.2412,1.6206,0.8103,1.6206,0.0,0.0,2.4309,0.0,3.2412,3.2412,0.0,2.4309,0.8103,2.4309,0.1108,0.0789
seq178,5.149,0.0,0.0,0.8582,1.7163,5.149,0.0,0.8582,0.0,4.2908,1.7163,0.0,0.0,1.7163,1.7163,1.7163,2.5745,0.8582,0.0,0.0,0.0715,0.0704
seq179,2.507,0.0,1.6714,0.8357,0.0,0.8357,0.0,4.1784,2.507,0.8357,0.0,2.507,0.0,2.507,0.8357,3.3427,0.8357,5.0141,0.0,0.8357,0.0685,0.0959
seq180,4.1166,0.0,1.6466,1.6466,0.0,0.8233,0.0,3.2933,3.2933,1.6466,0.0,1.6466,0.0,2.4699,1.6466,3.2933,0.8233,2.4699,0.0,0.0,0.0868,0.0899
seq181,4.9399,0.0,1.6466,2.47,0.0,0.0,0.0,2.47,3.2933,1.6466,0.0,0.8233,0.0,2.47,1.6466,3.2933,0.8233,3.2933,0.0,0.0,0.09,0.0866
seq182,0.8115,0.0,2.4344,3.2459,0.0,0.8115,0.8115,3.2459,3.2459,2.4344,0.0,2.4344,0.0,1.6229,1.6229,4.0574,0.0,0.0,1.6229,0.0,0.0971,0.0914
seq183,2.4936,0.0,1.6624,0.8312,0.0,0.8312,0.0,3.3248,3.3248,1.6624,0.0,2.4936,0.0,2.4936,0.8312,3.3248,0.8312,4.156,0.0,0.8312,0.0769,0.0919
seq184,1.656,0.0,2.4839,3.3119,0.0,0.0,0.0,3.3119,2.4839,3.3119,0.0,3.3119,0.828,0.828,1.656,4.1399,0.0,0.828,0.828,0.0,0.09,0.08199999999999999
seq185,2.4799,0.0,1.6533,1.6533,0.0,0.8266,0.0,4.1331,3.3065,1.6533,0.0,1.6533,0.0,1.6533,1.6533,4.1331,0.8266,3.3065,0.0,0.0,0.0809,0.0925
seq186,6.6018,0.0,1.6505,2.4757,0.0,0.0,0.0,2.4757,3.3009,1.6505,0.0,0.8252,0.0,2.4757,1.6505,1.6505,1.6505,2.4757,0.0,0.0,0.0909,0.0839
seq187,1.5252,1.5252,0.0,0.0,1.5252,0.7626,0.0,0.7626,2.2877,0.7626,0.7626,0.0,0.7626,0.7626,3.8129,0.7626,0.7626,0.7626,1.5252,0.0,0.1332,0.1042
seq188,7.4656,0.0,0.8295,0.8295,2.4885,2.4885,1.659,0.8295,0.0,5.8066,0.0,0.0,2.4885,0.8295,2.4885,1.659,1.659,4.1475,0.0,1.659,0.0708,0.0997
seq189,3.4576,1.7288,0.0,0.0,1.7288,0.8644,0.0,1.7288,3.4576,2.5932,0.0,0.0,1.7288,0.0,0.0,0.0,0.8644,2.5932,0.0,0.0,0.0594,0.0762
seq190,0.0,0.0,0.0,0.0,2.4223,3.2298,0.8074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6149,0.0,0.8074,0.8074,0.0,2.4223,0.0786,0.1139
seq191,1.5782,0.0,0.0,0.7891,2.3672,3.9454,0.7891,1.5782,3.1563,0.7891,0.7891,0.0,0.0,0.0,0.0,1.5782,0.0,0.7891,0.0,0.0,0.0988,0.1121
seq192,3.129,0.0,0.0,0.0,0.7822,0.7822,0.7822,0.7822,0.0,2.3467,0.0,0.7822,0.0,0.0,1.5645,0.7822,1.5645,0.0,0.7822,0.7822,0.1034,0.1143
seq193,0.0,0.0,0.0,2.4809,0.827,0.0,1.6539,0.827,0.827,0.827,0.0,0.0,0.827,0.0,0.827,0.0,0.827,1.6539,0.0,0.827,0.1054,0.0677
seq194,0.0,0.0,0.0,0.0,0.0,0.0,0.7045,0.0,2.8182,0.0,0.0,0.0,0.0,0.0,5.6363,0.0,0.0,0.0,3.5227,0.0,0.1797,0.1158
seq195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3355,0.0,0.0,0.0,0.0,0.0,5.7807,0.0,0.0,0.0,2.8903,0.0,0.149,0.1284
seq196,0.825,0.0,0.0,0.825,1.6499,0.0,0.0,0.825,0.825,0.825,0.0,0.0,0.0,0.825,0.825,1.6499,2.4749,0.0,0.0,0.825,0.1086,0.0665
seq197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7066,3.1378,0.0,0.0,0.0,0.0,6.2755,0.0,0.0,0.0,0.0,0.0,0.1285,0.0871
seq198,0.0,0.0,0.0,0.0,0.0,1.5319,0.0,0.0,3.0638,1.5319,0.0,0.0,0.0,0.0,6.1275,0.0,1.5319,0.0,0.0,0.0,0.1618,0.0723
seq199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7997,1.3999,0.0,0.0,0.0,0.0,5.5994,0.0,0.0,0.0,2.7997,0.0,0.1816,0.1185
seq200,8.4472,0.8447,2.5342,0.0,0.8447,0.0,0.8447,0.8447,0.8447,5.9131,0.0,0.8447,0.0,0.8447,4.2236,2.5342,3.3789,0.8447,0.8447,0.0,0.0814,0.0739
seq201,0.0,4.7972,0.0,0.0,2.3986,0.7995,0.0,1.5991,0.0,0.7995,0.0,0.7995,0.7995,0.7995,5.5967,0.0,3.9976,0.7995,0.0,1.5991,0.0904,0.1101
seq202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8836,0.0,0.0,0.0,0.0,0.0,7.209,0.0,0.0,0.0,2.8836,0.0,0.1472,0.1319
seq203,0.0,0.0,0.0,0.0,0.0,0.7804,0.0,0.0,3.1216,0.0,0.0,0.0,0.0,0.0,6.2432,0.0,1.5608,0.0,0.7804,0.0,0.1401,0.0795
seq204,0.0,0.0,0.0,0.0,0.0,1.471,0.0,0.0,2.942,0.0,0.0,0.0,0.0,0.0,5.8839,0.0,0.0,0.0,1.471,0.0,0.1664,0.0981
seq205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8468,0.0,0.0,0.0,0.0,0.0,5.6936,0.0,0.0,0.0,2.8468,0.0,0.1647,0.1236
seq206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1368,0.0,0.0,0.0,0.0,0.0,6.4103,0.0,0.0,0.0,4.2735,0.0,0.195,0.0927
seq207,5.0253,0.0,0.0,3.3502,0.8375,0.8375,1.6751,0.8375,0.0,7.5379,0.0,0.0,0.0,3.3502,2.5126,0.8375,0.8375,1.6751,0.0,0.8375,0.0947,0.0678
seq208,0.8035,0.0,0.8035,0.0,0.8035,0.0,0.0,0.0,1.607,0.0,0.0,0.0,1.607,0.0,0.8035,0.0,2.4104,1.607,1.607,0.0,0.1035,0.09300000000000001
seq209,0.0,0.0,0.0,0.0,3.8725,2.3235,0.0,1.549,3.8725,0.7745,0.0,0.7745,0.0,0.7745,0.0,0.7745,0.0,3.098,0.0,0.0,0.0976,0.1279
seq210,2.3517,4.7033,0.0,0.7839,0.7839,1.5678,0.7839,1.5678,0.0,3.1356,0.0,0.0,1.5678,0.0,7.055,0.0,0.0,1.5678,0.0,0.0,0.10800000000000001,0.1081
seq211,4.114,0.8228,1.6456,1.6456,0.8228,0.0,1.6456,0.8228,0.8228,3.2912,0.8228,1.6456,0.0,1.6456,1.6456,1.6456,1.6456,0.8228,1.6456,0.8228,0.0835,0.0937
seq212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7639,0.7639,0.7639,0.0,0.0,2.2918,0.0,1.5278,0.0,0.0,0.0,3.8196,0.0,0.1377,0.0984
seq213,5.7597,0.0,0.0,0.0,0.0,2.4685,0.0,1.6456,3.2913,1.6456,0.8228,0.0,0.0,0.0,0.0,0.8228,0.0,0.8228,0.0,0.0,0.0861,0.0911
seq214,1.6284,0.0,0.0,0.0,0.8142,4.0711,0.0,1.6284,4.8853,3.2568,0.0,0.0,0.0,0.0,0.0,0.0,1.6284,1.6284,0.0,0.0,0.0827,0.1031
seq215,4.9195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9195,4.9195,0.0,0.0,0.0,0.0,0.0,4.9195,0.0,0.0,0.0,0.0,0.0785,0.1016
seq216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0019,4.5014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0924,0.1573
seq217,1.7084,1.7084,0.8542,0.8542,0.0,0.0,1.7084,0.8542,0.0,0.0,0.8542,0.0,0.0,2.5626,1.7084,1.7084,0.8542,0.8542,0.0,0.0,0.0631,0.0827
seq218,1.7006,1.7006,0.8503,0.0,0.0,0.0,1.7006,0.8503,0.0,0.0,0.8503,0.0,0.0,1.7006,1.7006,1.7006,0.8503,0.8503,0.0,0.0,0.0655,0.0843
seq219,2.6576,3.5434,0.8859,0.0,0.0,0.0,0.0,0.0,1.7717,0.8859,0.8859,0.0,8.8585,0.8859,0.8859,2.6576,0.8859,0.0,0.8859,0.0,0.055,0.0592
seq220,5.5736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8579,5.5736,0.0,0.0,1.8579,0.0,1.8579,0.0,0.0,1.8579,0.0,0.0,0.027000000000000003,0.0441
seq221,2.7311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8207,3.6415,0.0,0.0,0.9104,0.0,1.8207,0.0,0.0,0.9104,0.0,0.0,0.031,0.0586
seq222,2.7574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8383,4.5957,0.0,0.0,1.8383,0.0,1.8383,0.0,0.0,0.9191,0.0,0.0,0.0324,0.0485
seq223,2.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8573,3.7146,0.0,0.0,1.8573,0.0,1.8573,0.0,0.0,0.9287,0.0,0.0,0.024,0.0474
seq224,1.8062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8062,3.6123,0.0,0.0,0.9031,0.0,1.8062,0.0,0.0,0.9031,0.0,0.0,0.0342,0.0627
seq225,3.6687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8343,5.503,0.0,0.0,0.0,0.0,1.8343,0.0,0.0,1.8343,0.0,0.0,0.0325,0.0504
seq226,0.0,0.0,0.0,2.3604,1.5736,3.9339,0.0,2.3604,6.2943,3.1471,0.0,0.7868,1.5736,3.1471,0.7868,0.0,0.0,0.7868,0.0,0.0,0.0869,0.1263
seq227,2.7111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8074,4.5186,0.0,0.0,0.0,0.0,0.9037,0.0,0.0,0.9037,0.0,0.0,0.0381,0.0582
seq228,8.4791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8842,0.0,0.0,0.0,0.0,0.0,1.8842,0.0,0.0,0.0,0.0,0.0,0.0182,0.0397
seq229,0.0,0.0,0.0,0.0,0.0,4.3374,3.4699,0.0,0.0,0.0,0.0,0.0,0.0,0.8675,0.0,0.8675,0.0,1.735,0.0,0.0,0.0758,0.0567
seq230,3.9256,0.0,0.0,1.5702,0.7851,3.1405,0.0,3.1405,5.4958,1.5702,0.7851,1.5702,0.7851,0.0,1.5702,0.0,0.0,2.3554,0.7851,0.0,0.11,0.1049
seq231,2.5159,0.0,3.3545,3.3545,0.0,2.5159,0.0,1.6773,1.6773,5.8704,0.0,1.6773,1.6773,0.0,0.8386,2.5159,0.8386,0.8386,0.0,0.0,0.0831,0.0783
seq232,2.4338,0.0,2.4338,3.2451,0.0,1.6225,0.0,1.6225,2.4338,5.6789,0.8113,1.6225,0.0,0.8113,1.6225,2.4338,0.8113,0.8113,0.0,0.0,0.0923,0.0964
seq233,2.4742,0.0,2.4742,2.4742,0.0,2.4742,0.8247,2.4742,1.6494,6.5977,0.0,1.6494,1.6494,0.0,1.6494,0.8247,0.8247,0.8247,0.0,0.0,0.0942,0.0811
seq234,0.7394,0.0,0.0,0.0,1.4787,0.0,0.0,1.4787,2.2181,2.9574,0.0,0.0,0.0,0.0,1.4787,1.4787,0.0,0.7394,0.0,0.0,0.1082,0.1524
seq235,0.0,1.5582,0.0,0.7791,1.5582,0.7791,0.0,0.0,3.1165,0.7791,0.7791,0.0,1.5582,0.7791,1.5582,0.0,0.7791,1.5582,0.7791,2.3374,0.1154,0.1055
seq236,0.0,6.8152,0.0,0.0,1.7038,3.4076,0.0,1.7038,0.8519,0.0,0.0,0.0,0.8519,0.0,1.7038,0.0,0.8519,0.8519,0.0,0.0,0.0897,0.0584
seq237,0.8319,0.0,0.0,0.0,2.4956,3.3275,2.4956,3.3275,1.6638,1.6638,0.8319,0.0,0.0,0.0,0.0,0.0,0.0,0.8319,0.0,0.0,0.0748,0.0933
seq238,0.0,2.4168,0.8056,0.8056,0.0,0.0,0.0,0.8056,0.0,5.6393,0.0,0.0,0.0,0.0,3.2225,1.6112,0.0,2.4168,1.6112,0.8056,0.1186,0.0758
seq239,0.0,2.5448,0.0,0.0,1.6966,1.6966,0.0,0.8483,0.0,2.5448,1.6966,0.8483,0.0,1.6966,2.5448,0.0,1.6966,2.5448,0.0,0.8483,0.0604,0.0913
seq240,0.8133,0.8133,0.8133,0.0,0.0,0.0,3.2533,0.8133,0.0,4.0666,0.8133,0.0,3.2533,0.0,2.4399,0.8133,0.8133,2.4399,1.6266,0.0,0.1011,0.0856
seq241,2.5689,0.0,1.7126,1.7126,0.8563,0.8563,0.8563,2.5689,2.5689,2.5689,0.0,3.4252,0.0,1.7126,0.8563,4.2815,1.7126,1.7126,0.0,0.0,0.066,0.0777
seq242,0.8706,0.0,0.0,0.0,1.7411,2.6117,0.0,0.0,2.6117,2.6117,0.0,0.0,0.0,0.0,2.6117,0.8706,0.0,0.8706,0.0,0.0,0.0556,0.0738
seq243,0.8882,0.8882,0.0,0.0,0.0,1.7764,0.0,1.7764,0.8882,0.8882,0.0,0.0,0.0,0.0,0.0,3.5529,1.7764,1.7764,0.0,0.8882,0.0548,0.057
seq244,0.864,0.864,2.5919,0.864,0.864,0.864,0.0,0.864,0.864,0.864,0.864,0.864,0.864,0.0,0.0,0.0,3.4559,0.864,0.0,0.864,0.0692,0.0668
seq245,2.5102,0.8367,0.0,0.8367,0.8367,1.6735,0.0,0.8367,0.0,1.6735,0.0,0.8367,0.0,2.5102,0.8367,1.6735,0.8367,0.0,0.0,0.8367,0.0736,0.0896
seq246,1.7671,0.8835,2.6506,0.0,0.0,0.0,0.8835,0.8835,0.0,0.8835,0.0,0.8835,0.8835,1.7671,0.0,0.8835,2.6506,1.7671,0.0,0.8835,0.0574,0.059000000000000004
seq247,0.0,0.0,0.0,0.0,4.1964,1.6786,0.0,0.8393,0.0,0.0,0.0,1.6786,0.0,0.8393,0.8393,1.6786,1.6786,1.6786,0.8393,0.0,0.062,0.0987
seq248,0.0,0.0,1.6507,0.8253,1.6507,2.476,0.0,0.0,0.8253,0.0,0.0,0.0,0.0,0.8253,0.0,1.6507,0.8253,0.8253,0.8253,3.3013,0.0894,0.0853
seq249,1.7815,0.0,0.0,0.0,1.7815,1.7815,2.6722,0.0,0.0,1.7815,0.8907,0.0,1.7815,0.8907,0.0,0.8907,0.8907,2.6722,0.8907,0.8907,0.0599,0.0494
seq250,2.638,0.0,0.0,1.7586,0.8793,1.7586,0.0,3.5173,1.7586,1.7586,0.0,4.3966,0.0,5.2759,0.0,2.638,4.3966,1.7586,0.0,0.8793,0.0514,0.0693
seq251,1.75,1.75,0.0,0.875,0.0,0.875,0.0,0.875,0.875,0.875,0.875,0.875,1.75,0.0,0.0,0.0,1.75,1.75,0.0,2.625,0.0551,0.0699
seq252,1.5674,0.0,0.0,0.7837,0.0,0.0,0.0,1.5674,3.9184,2.3511,0.0,0.0,0.0,0.0,0.0,0.7837,0.0,0.0,0.0,0.7837,0.0728,0.1435
seq253,1.6341,0.817,0.817,0.0,0.0,0.817,0.0,0.0,1.6341,3.2681,0.0,0.817,0.0,0.817,0.817,0.0,0.0,0.0,0.0,0.817,0.0851,0.0979
seq254,1.5224,0.0,0.0,0.0,2.2835,1.5224,0.7612,1.5224,5.3282,1.5224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7612,0.0,0.1155,0.1233
seq255,6.2602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6829,4.4716,0.0,0.0,0.8943,0.0,1.7886,0.0,0.0,1.7886,0.0,0.0,0.0436,0.0621
seq256,6.2788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6909,4.4849,0.0,0.0,0.897,0.0,1.794,0.0,0.0,1.794,0.0,0.0,0.0437,0.0593
seq257,4.6238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8495,5.5485,0.0,0.0,1.8495,0.0,1.8495,0.0,0.0,1.8495,0.0,0.0,0.0284,0.0469
seq258,2.7445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8296,5.4889,0.0,0.0,1.8296,0.0,1.8296,0.0,0.0,0.9148,0.0,0.0,0.0301,0.0551
seq259,7.8627,6.9891,3.4946,5.2418,1.7473,5.2418,1.7473,2.6209,3.4946,7.8627,5.2418,6.1155,2.6209,2.6209,2.6209,8.7364,0.8736,7.8627,0.0,4.3682,0.0639,0.0625
seq260,0.7744,4.6467,0.0,0.7744,0.7744,3.0978,2.3233,0.7744,0.0,0.7744,0.0,0.0,0.7744,0.7744,4.6467,0.0,0.0,0.7744,0.0,2.3233,0.098,0.1276
seq261,1.8222,1.8222,0.9111,0.0,0.0,0.0,0.9111,0.9111,0.0,2.7333,0.0,0.9111,0.0,0.0,0.0,0.0,0.9111,0.9111,0.0,0.0,0.0471,0.0419
seq262,0.8749,1.7499,0.8749,0.8749,0.8749,0.0,1.7499,0.8749,0.0,2.6248,0.0,1.7499,0.8749,0.0,0.8749,1.7499,2.6248,0.8749,0.8749,1.7499,0.0585,0.0665
seq263,1.7401,1.7401,1.7401,0.0,0.0,0.0,0.87,0.87,0.0,2.6101,0.0,0.87,0.0,0.0,0.87,0.0,1.7401,0.87,0.0,0.0,0.0725,0.0574
