ID,PCP_SS_HE,PCP_SS_ST,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN
seq578,0.2,0.433,0.767,0.067,0.167
seq579,0.333,0.451,0.431,0.333,0.235
seq580,0.433,0.3,0.567,0.167,0.233
seq581,0.333,0.3,0.6,0.133,0.2
seq582,0.323,0.333,0.427,0.344,0.208
seq583,0.315,0.382,0.393,0.303,0.326
seq584,0.341,0.25,0.409,0.341,0.25
seq585,0.378,0.333,0.378,0.356,0.267
seq586,0.158,0.474,0.474,0.316,0.263
seq587,0.158,0.368,0.421,0.263,0.368
seq588,0.327,0.442,0.404,0.327,0.25
seq589,0.211,0.316,0.263,0.579,0.526
seq590,0.333,0.344,0.458,0.281,0.26
seq591,0.432,0.297,0.703,0.162,0.081
seq592,0.276,0.379,0.483,0.31,0.207
seq593,0.233,0.433,0.4,0.233,0.367
seq594,0.354,0.402,0.451,0.268,0.268
seq595,0.625,0.125,0.5,0.083,0.25
seq596,0.29,0.419,0.484,0.226,0.29
seq597,0.424,0.364,0.515,0.303,0.242
seq598,0.3,0.2,0.15,0.55,0.45
seq599,0.286,0.429,0.5,0.214,0.286
seq600,0.536,0.143,0.571,0.25,0.179
seq601,0.368,0.263,0.421,0.368,0.263
seq602,0.273,0.545,0.591,0.182,0.318
seq603,0.542,0.458,0.458,0.0,0.0
seq604,0.429,0.429,0.5,0.5,0.0
seq605,0.5,0.286,0.571,0.286,0.143
seq606,0.473,0.284,0.392,0.27,0.23
seq607,0.071,0.643,0.357,0.0,0.571
seq608,0.6,0.2,0.7,0.2,0.05
seq609,0.533,0.283,0.65,0.167,0.183
seq610,0.508,0.262,0.738,0.164,0.131
seq611,0.467,0.333,0.8,0.067,0.133
seq612,0.219,0.375,0.469,0.25,0.25
seq613,0.261,0.435,0.478,0.304,0.348
seq614,0.571,0.286,0.571,0.214,0.214
seq615,0.583,0.083,0.292,0.417,0.208
seq616,0.48,0.48,0.44,0.28,0.24
seq617,0.424,0.303,0.485,0.212,0.303
seq618,0.238,0.476,0.762,0.095,0.143
seq619,0.254,0.06,0.403,0.119,0.313
seq620,0.125,0.5,0.562,0.125,0.375
seq621,0.5,0.375,0.438,0.375,0.188
seq622,0.211,0.368,0.474,0.263,0.263
seq623,0.3,0.3,0.45,0.3,0.3
seq624,0.556,0.185,0.704,0.222,0.074
seq625,0.519,0.148,0.741,0.222,0.037
seq626,0.427,0.28,0.44,0.32,0.213
seq627,0.312,0.375,0.5,0.312,0.25
seq628,0.375,0.375,0.438,0.312,0.375
seq629,0.365,0.308,0.596,0.212,0.154
seq630,0.383,0.267,0.467,0.3,0.233
seq631,0.304,0.283,0.391,0.348,0.261
seq632,0.22,0.317,0.512,0.195,0.268
seq633,0.345,0.241,0.517,0.207,0.31
seq634,0.295,0.049,0.426,0.197,0.328
seq635,0.459,0.189,0.351,0.243,0.189
seq636,0.278,0.278,0.167,0.5,0.5
seq637,0.286,0.143,0.286,0.357,0.571
seq638,0.568,0.216,0.432,0.432,0.054
seq639,0.5,0.35,0.45,0.3,0.15
seq640,0.26,0.42,0.46,0.3,0.24
seq641,0.583,0.25,0.5,0.333,0.167
seq642,0.333,0.458,0.667,0.167,0.167
seq643,0.416,0.195,0.325,0.325,0.234
seq644,0.5,0.222,0.417,0.417,0.111
seq645,0.5,0.222,0.389,0.389,0.139
seq646,0.409,0.273,0.364,0.227,0.364
seq647,0.364,0.273,0.364,0.273,0.455
seq648,0.667,0.233,0.5,0.267,0.133
seq649,0.129,0.484,0.581,0.226,0.258
seq650,0.333,0.396,0.479,0.146,0.312
seq651,0.3,0.38,0.44,0.22,0.32
seq652,0.611,0.278,0.444,0.333,0.222
seq653,0.394,0.242,0.545,0.273,0.182
seq654,0.485,0.273,0.485,0.273,0.242
seq655,0.326,0.391,0.652,0.261,0.065
seq656,0.412,0.471,0.588,0.235,0.176
seq657,0.381,0.333,0.667,0.19,0.143
seq658,0.286,0.333,0.762,0.143,0.095
seq659,0.25,0.312,0.375,0.312,0.312
seq660,0.438,0.312,0.438,0.25,0.188
seq661,0.375,0.333,0.375,0.417,0.292
seq662,0.333,0.062,0.583,0.0,0.167
seq663,0.593,0.074,0.667,0.222,0.148
seq664,0.647,0.059,0.765,0.176,0.059
seq665,0.2,0.35,0.5,0.25,0.35
seq666,0.267,0.5,0.567,0.2,0.2
seq667,0.29,0.323,0.548,0.355,0.161
seq668,0.5,0.25,0.583,0.083,0.25
seq669,0.375,0.375,0.875,0.125,0.062
seq670,0.375,0.458,0.667,0.25,0.167
seq671,0.424,0.333,0.515,0.273,0.182
seq672,0.471,0.235,0.647,0.176,0.294
seq673,0.524,0.333,0.619,0.143,0.238
seq674,0.3,0.32,0.5,0.22,0.28
seq675,0.647,0.118,0.294,0.176,0.412
seq676,0.571,0.357,0.643,0.143,0.143
seq677,0.552,0.241,0.517,0.379,0.138
seq678,0.414,0.31,0.552,0.276,0.241
seq679,0.393,0.357,0.536,0.286,0.25
seq680,0.212,0.485,0.515,0.152,0.333
seq681,0.259,0.481,0.519,0.148,0.296
seq682,0.385,0.327,0.635,0.212,0.173
seq683,0.293,0.366,0.683,0.122,0.22
seq684,0.366,0.254,0.69,0.113,0.197
seq685,0.259,0.333,0.556,0.333,0.185
seq686,0.52,0.24,0.6,0.28,0.16
seq687,0.375,0.375,0.625,0.219,0.062
seq688,0.5,0.188,0.688,0.062,0.25
seq689,0.394,0.324,0.38,0.324,0.31
seq690,0.412,0.353,0.451,0.255,0.235
seq691,0.339,0.322,0.407,0.288,0.288
seq692,0.375,0.333,0.5,0.333,0.25
seq693,0.273,0.364,0.409,0.318,0.182
seq694,0.486,0.284,0.378,0.392,0.216
seq695,0.651,0.095,0.19,0.492,0.175
seq696,0.52,0.24,0.68,0.08,0.16
seq697,0.4,0.289,0.511,0.222,0.2
seq698,0.317,0.354,0.524,0.171,0.293
seq699,0.409,0.455,0.591,0.136,0.364
seq700,0.348,0.261,0.348,0.435,0.217
seq701,0.29,0.355,0.387,0.419,0.323
seq702,0.384,0.28,0.336,0.336,0.296
seq703,0.358,0.317,0.342,0.35,0.3
seq704,0.336,0.282,0.403,0.275,0.336
seq705,0.436,0.228,0.337,0.386,0.277
seq706,0.452,0.26,0.411,0.384,0.247
seq707,0.515,0.252,0.32,0.456,0.214
seq708,0.468,0.26,0.364,0.377,0.26
seq709,0.452,0.301,0.438,0.397,0.151
seq710,0.5,0.279,0.426,0.382,0.176
seq711,0.402,0.368,0.414,0.31,0.23
seq712,0.355,0.387,0.355,0.258,0.323
seq713,0.432,0.284,0.351,0.419,0.284
seq714,0.423,0.324,0.423,0.31,0.197
seq715,0.391,0.348,0.42,0.391,0.232
seq716,0.416,0.325,0.416,0.299,0.247
seq717,0.449,0.244,0.425,0.276,0.276
seq718,0.362,0.348,0.42,0.29,0.275
seq719,0.542,0.203,0.339,0.407,0.186
seq720,0.414,0.276,0.448,0.241,0.241
seq721,0.409,0.364,0.545,0.364,0.091
seq722,0.4,0.4,0.52,0.32,0.16
seq723,0.222,0.417,0.611,0.111,0.25
seq724,0.262,0.357,0.571,0.143,0.31
seq725,0.327,0.224,0.398,0.439,0.276
seq726,0.368,0.342,0.579,0.237,0.184
seq727,0.333,0.317,0.365,0.413,0.333
seq728,0.333,0.24,0.4,0.373,0.293
seq729,0.56,0.28,0.56,0.04,0.16
seq730,0.409,0.409,0.636,0.0,0.273
seq731,0.476,0.238,0.619,0.095,0.238
seq732,0.5,0.25,0.5,0.375,0.125
seq733,0.474,0.299,0.423,0.247,0.289
seq734,0.434,0.313,0.455,0.273,0.263
seq735,0.4,0.35,0.412,0.275,0.25
seq736,0.529,0.271,0.443,0.357,0.214
seq737,0.362,0.438,0.462,0.312,0.2
seq738,0.4,0.35,0.6,0.35,0.1
seq739,0.045,0.545,0.591,0.136,0.318
seq740,0.412,0.471,0.647,0.235,0.176
seq741,0.317,0.375,0.471,0.231,0.288
seq742,0.507,0.183,0.31,0.408,0.296
seq743,0.25,0.348,0.457,0.348,0.304
seq744,0.52,0.2,0.52,0.28,0.2
seq745,0.25,0.5,0.536,0.25,0.25
seq746,0.4,0.4,0.52,0.48,0.12
seq747,0.2,0.114,0.629,0.057,0.314
seq748,0.48,0.24,0.28,0.28,0.4
seq749,0.429,0.299,0.481,0.377,0.182
seq750,0.551,0.244,0.425,0.26,0.244
seq751,0.518,0.25,0.429,0.357,0.25
seq752,0.509,0.237,0.342,0.254,0.289
seq753,0.474,0.316,0.526,0.158,0.263
seq754,0.526,0.316,0.526,0.158,0.263
seq755,0.517,0.31,0.414,0.345,0.172
seq756,0.188,0.075,0.857,0.053,0.068
seq757,0.357,0.357,0.714,0.214,0.071
seq758,0.382,0.343,0.441,0.294,0.265
seq759,0.317,0.341,0.39,0.341,0.293
seq760,0.3,0.433,0.5,0.267,0.2
seq761,0.485,0.235,0.52,0.319,0.157
seq762,0.408,0.298,0.471,0.267,0.271
seq763,0.384,0.329,0.482,0.259,0.275
seq764,0.529,0.206,0.735,0.206,0.059
seq765,0.5,0.25,0.688,0.188,0.125
seq766,0.517,0.207,0.552,0.379,0.103
seq767,0.2,0.4,0.4,0.4,0.2
seq768,0.316,0.368,0.5,0.079,0.316
seq769,0.368,0.316,0.632,0.316,0.053
seq770,0.5,0.219,0.656,0.25,0.062
seq771,0.533,0.267,0.6,0.267,0.133
seq772,0.241,0.517,0.379,0.172,0.517
seq773,0.389,0.333,0.5,0.222,0.278
seq774,0.39,0.246,0.405,0.308,0.251
seq775,0.314,0.314,0.462,0.201,0.325
seq776,0.377,0.323,0.438,0.308,0.223
seq777,0.397,0.313,0.45,0.321,0.198
seq778,0.395,0.294,0.378,0.328,0.244
seq779,0.353,0.353,0.5,0.412,0.118
seq780,0.43,0.262,0.383,0.43,0.224
seq781,0.246,0.41,0.475,0.295,0.246
seq782,0.188,0.562,0.406,0.094,0.531
seq783,0.4,0.28,0.44,0.36,0.32
seq784,0.462,0.308,0.385,0.385,0.231
seq785,0.33,0.383,0.372,0.287,0.266
seq786,0.4,0.311,0.489,0.267,0.244
seq787,0.355,0.284,0.27,0.482,0.298
seq788,0.273,0.364,0.636,0.273,0.182
seq789,0.298,0.34,0.468,0.362,0.255
seq790,0.3,0.35,0.525,0.15,0.175
seq791,0.24,0.32,0.6,0.053,0.293
seq792,0.357,0.357,0.512,0.143,0.238
seq793,0.571,0.214,0.643,0.143,0.143
seq794,0.529,0.294,0.588,0.235,0.235
seq795,0.403,0.389,0.458,0.319,0.222
seq796,0.423,0.308,0.692,0.115,0.154
seq797,0.281,0.406,0.422,0.25,0.281
seq798,0.64,0.12,0.28,0.44,0.2
seq799,0.5,0.125,0.0,0.625,0.375
seq800,0.431,0.276,0.362,0.345,0.276
seq801,0.4,0.133,0.467,0.4,0.133
seq802,0.325,0.32,0.43,0.27,0.32
seq803,0.267,0.267,0.4,0.467,0.2
seq804,0.342,0.338,0.495,0.212,0.329
seq805,0.341,0.294,0.471,0.282,0.235
seq806,0.361,0.306,0.444,0.25,0.259
seq807,0.139,0.111,0.833,0.111,0.028
seq808,0.356,0.3,0.444,0.311,0.3
seq809,0.545,0.227,0.318,0.477,0.136
seq810,0.6,0.267,0.267,0.6,0.2
seq811,0.455,0.364,0.455,0.409,0.136
seq812,0.362,0.383,0.489,0.213,0.213
seq813,0.406,0.294,0.42,0.364,0.196
seq814,0.44,0.24,0.44,0.36,0.28
seq815,0.36,0.32,0.44,0.32,0.28
seq816,0.282,0.451,0.563,0.183,0.254
seq817,0.462,0.231,0.846,0.154,0.154
seq818,0.5,0.259,0.438,0.277,0.241
seq819,0.333,0.333,0.667,0.222,0.167
seq820,0.435,0.231,0.315,0.361,0.306
seq821,0.692,0.154,0.462,0.385,0.154
seq822,0.308,0.385,0.577,0.308,0.231
seq823,0.387,0.323,0.516,0.387,0.161
seq824,0.308,0.423,0.615,0.231,0.231
seq825,0.333,0.133,0.467,0.4,0.0
seq826,0.443,0.271,0.435,0.314,0.227
seq827,0.312,0.344,0.469,0.344,0.172
seq828,0.614,0.228,0.404,0.298,0.228
seq829,0.214,0.429,0.714,0.143,0.143
seq830,0.613,0.129,0.161,0.419,0.226
seq831,0.385,0.385,0.615,0.154,0.231
seq832,0.333,0.381,0.524,0.333,0.19
seq833,0.342,0.474,0.421,0.316,0.263
seq834,0.295,0.386,0.455,0.295,0.273
seq835,0.35,0.05,0.55,0.4,0.3
seq836,0.545,0.364,0.545,0.273,0.182
seq837,0.237,0.421,0.553,0.316,0.158
seq838,0.388,0.287,0.465,0.248,0.202
seq839,0.5,0.286,0.443,0.286,0.186
seq840,0.505,0.232,0.545,0.212,0.242
seq841,0.381,0.31,0.5,0.262,0.167
seq842,0.397,0.397,0.571,0.175,0.286
seq843,0.359,0.338,0.465,0.275,0.289
seq844,0.362,0.368,0.503,0.258,0.258
seq845,0.38,0.329,0.437,0.278,0.215
seq846,0.351,0.297,0.568,0.27,0.135
seq847,0.275,0.31,0.384,0.259,0.361
seq848,0.356,0.288,0.545,0.283,0.225
seq849,0.431,0.259,0.447,0.306,0.227
seq850,0.361,0.311,0.479,0.311,0.21
seq851,0.443,0.254,0.416,0.314,0.222
seq852,0.474,0.268,0.412,0.278,0.268
seq853,0.425,0.275,0.5,0.25,0.175
seq854,0.447,0.268,0.413,0.255,0.243
seq855,0.31,0.322,0.494,0.224,0.306
seq856,0.281,0.469,0.469,0.219,0.25
seq857,0.293,0.325,0.45,0.288,0.251
seq858,0.408,0.327,0.437,0.322,0.265
seq859,0.36,0.442,0.5,0.221,0.256
seq860,0.316,0.368,0.263,0.526,0.316
seq861,0.429,0.357,0.714,0.214,0.071
seq862,0.5,0.286,0.714,0.214,0.071
seq863,0.459,0.27,0.385,0.426,0.189
seq864,0.279,0.393,0.426,0.336,0.246
seq865,0.471,0.261,0.341,0.486,0.181
seq866,0.385,0.308,0.769,0.154,0.154
seq867,0.4,0.369,0.6,0.215,0.169
seq868,0.302,0.279,0.488,0.302,0.209
seq869,0.264,0.336,0.459,0.286,0.309
seq870,0.25,0.4,0.55,0.175,0.275
seq871,0.633,0.233,0.467,0.267,0.133
seq872,0.633,0.233,0.667,0.133,0.133
seq873,0.667,0.133,0.233,0.467,0.133
seq874,0.556,0.253,0.374,0.303,0.232
seq875,0.42,0.277,0.463,0.364,0.212
seq876,0.733,0.067,0.2,0.533,0.133
seq877,0.482,0.284,0.504,0.248,0.255
seq878,0.527,0.26,0.507,0.295,0.192
seq879,0.481,0.296,0.296,0.37,0.185
seq880,0.333,0.389,0.389,0.333,0.333
seq881,0.329,0.286,0.431,0.286,0.286
seq882,0.36,0.287,0.44,0.28,0.287
seq883,0.454,0.269,0.426,0.426,0.204
seq884,0.444,0.4,0.422,0.2,0.267
seq885,0.268,0.488,0.61,0.171,0.22
seq886,0.633,0.1,0.267,0.267,0.467
seq887,0.455,0.303,0.394,0.333,0.182
seq888,0.464,0.214,0.5,0.429,0.071
seq889,0.275,0.325,0.625,0.225,0.2
seq890,0.526,0.211,0.526,0.105,0.184
seq891,0.541,0.135,0.108,0.216,0.351
seq892,0.423,0.192,0.615,0.231,0.192
seq893,0.246,0.386,0.579,0.0,0.421
seq894,0.714,0.143,0.714,0.238,0.048
seq895,0.353,0.412,0.647,0.235,0.118
seq896,0.462,0.308,0.462,0.154,0.154
seq897,0.786,0.143,0.714,0.286,0.0
seq898,0.588,0.353,0.588,0.176,0.235
seq899,0.471,0.353,0.647,0.294,0.059
seq900,0.529,0.176,0.765,0.118,0.118
seq901,0.412,0.382,0.5,0.206,0.118
seq902,0.303,0.424,0.515,0.061,0.242
seq903,0.471,0.324,0.471,0.294,0.206
seq904,0.239,0.391,0.457,0.217,0.304
seq905,0.435,0.217,0.609,0.261,0.13
seq906,0.389,0.472,0.556,0.139,0.139
seq907,0.342,0.342,0.5,0.316,0.132
seq908,0.432,0.351,0.541,0.189,0.216
seq909,0.72,0.2,0.48,0.28,0.12
seq910,0.472,0.222,0.222,0.417,0.417
seq911,0.595,0.216,0.378,0.432,0.108
seq912,0.267,0.244,0.444,0.356,0.222
seq913,0.395,0.289,0.632,0.263,0.105
seq914,0.36,0.4,0.6,0.32,0.16
seq915,0.46,0.32,0.38,0.3,0.2
seq916,0.481,0.077,0.288,0.481,0.442
seq917,0.692,0.154,0.5,0.154,0.154
seq918,0.593,0.222,0.37,0.37,0.185
seq919,0.575,0.225,0.375,0.225,0.275
seq920,0.583,0.167,0.542,0.458,0.0
seq921,0.444,0.222,0.667,0.278,0.167
seq922,0.34,0.426,0.383,0.213,0.404
seq923,0.3,0.3,0.6,0.15,0.25
seq924,0.5,0.357,0.5,0.143,0.214
seq925,0.27,0.405,0.459,0.243,0.297
seq926,0.581,0.226,0.516,0.387,0.097
seq927,0.531,0.188,0.594,0.219,0.188
seq928,0.422,0.333,0.422,0.311,0.267
seq929,0.543,0.2,0.286,0.514,0.143
seq930,0.138,0.552,0.552,0.138,0.345
seq931,0.207,0.483,0.586,0.172,0.241
seq932,0.258,0.516,0.548,0.258,0.258
seq933,0.097,0.484,0.484,0.226,0.387
seq934,0.161,0.581,0.548,0.226,0.29
seq935,0.344,0.469,0.531,0.25,0.25
seq936,0.167,0.533,0.433,0.3,0.3
seq937,0.103,0.448,0.517,0.345,0.241
seq938,0.259,0.481,0.593,0.222,0.222
seq939,0.185,0.519,0.63,0.148,0.185
seq940,0.222,0.519,0.593,0.185,0.222
seq941,0.269,0.538,0.462,0.231,0.269
seq942,0.308,0.385,0.462,0.231,0.231
seq943,0.259,0.556,0.519,0.333,0.185
seq944,0.107,0.429,0.536,0.25,0.25
seq945,0.103,0.483,0.552,0.172,0.345
seq946,0.258,0.484,0.548,0.226,0.29
seq947,0.51,0.314,0.549,0.314,0.157
seq948,0.136,0.5,0.545,0.227,0.227
seq949,0.346,0.423,0.538,0.192,0.269
seq950,0.405,0.324,0.486,0.162,0.405
seq951,0.352,0.227,0.545,0.239,0.261
seq952,0.247,0.234,0.506,0.143,0.377
seq953,0.226,0.226,0.371,0.242,0.452
seq954,0.489,0.289,0.489,0.289,0.089
seq955,0.261,0.348,0.391,0.283,0.37
seq956,0.593,0.111,0.296,0.37,0.222
seq957,0.378,0.203,0.568,0.257,0.243
seq958,0.477,0.227,0.443,0.466,0.136
seq959,0.39,0.377,0.623,0.234,0.169
seq960,0.379,0.069,0.69,0.103,0.207
seq961,0.481,0.222,0.519,0.185,0.333
seq962,0.333,0.292,0.542,0.25,0.208
seq963,0.348,0.087,0.696,0.13,0.174
seq964,0.433,0.3,0.633,0.267,0.1
seq965,0.576,0.212,0.545,0.242,0.212
seq966,0.462,0.308,0.769,0.154,0.154
seq967,0.471,0.176,0.706,0.176,0.176
seq968,0.448,0.31,0.448,0.276,0.103
seq969,0.227,0.25,0.523,0.182,0.318
seq970,0.308,0.154,0.477,0.123,0.492
seq971,0.1,0.275,0.525,0.2,0.25
seq972,0.113,0.283,0.642,0.113,0.264
seq973,0.273,0.394,0.424,0.242,0.394
seq974,0.396,0.453,0.509,0.283,0.17
seq975,0.188,0.531,0.469,0.188,0.312
seq976,0.382,0.265,0.471,0.294,0.265
seq977,0.412,0.382,0.382,0.324,0.324
seq978,0.467,0.267,0.6,0.2,0.2
seq979,0.267,0.4,0.5,0.367,0.2
seq980,0.268,0.463,0.537,0.268,0.195
seq981,0.156,0.469,0.562,0.219,0.281
seq982,0.286,0.429,0.333,0.143,0.476
seq983,0.444,0.333,0.389,0.389,0.222
seq984,0.138,0.517,0.552,0.207,0.276
seq985,0.188,0.469,0.531,0.281,0.281
seq986,0.207,0.483,0.483,0.276,0.276
seq987,0.455,0.182,0.455,0.273,0.273
seq988,0.233,0.223,0.505,0.194,0.262
seq989,0.439,0.293,0.512,0.317,0.146
seq990,0.364,0.227,0.455,0.318,0.364
seq991,0.364,0.29,0.393,0.411,0.271
seq992,0.385,0.385,0.692,0.308,0.0
seq993,0.692,0.308,0.538,0.231,0.154
seq994,0.387,0.29,0.581,0.387,0.097
seq995,0.385,0.4,0.508,0.215,0.231
seq996,0.533,0.27,0.416,0.365,0.197
seq997,0.231,0.231,0.308,0.462,0.231
seq998,0.28,0.38,0.5,0.24,0.24
seq999,0.395,0.395,0.465,0.14,0.279
seq1000,0.493,0.288,0.507,0.411,0.082
seq1001,0.418,0.329,0.418,0.392,0.241
seq1002,0.596,0.034,0.326,0.596,0.157
seq1003,0.211,0.263,0.579,0.053,0.316
seq1004,0.709,0.091,0.382,0.509,0.164
seq1005,0.317,0.366,0.439,0.341,0.195
seq1006,0.667,0.19,0.381,0.429,0.19
seq1007,0.219,0.5,0.5,0.188,0.281
seq1008,0.392,0.278,0.405,0.278,0.291
seq1009,0.386,0.351,0.316,0.421,0.246
seq1010,0.491,0.302,0.623,0.302,0.075
seq1011,0.364,0.477,0.523,0.25,0.227
seq1012,0.467,0.3,0.433,0.267,0.267
seq1013,0.409,0.386,0.636,0.182,0.136
seq1014,0.264,0.347,0.446,0.273,0.264
seq1015,0.168,0.187,0.8,0.116,0.077
seq1016,0.323,0.355,0.419,0.226,0.355
seq1017,0.538,0.423,0.385,0.269,0.269
seq1018,0.367,0.4,0.467,0.333,0.267
seq1019,0.5,0.375,0.667,0.125,0.208
seq1020,0.455,0.273,0.667,0.242,0.091
seq1021,0.593,0.148,0.481,0.259,0.296
seq1022,0.5,0.292,0.5,0.292,0.292
seq1023,0.478,0.217,0.565,0.217,0.217
seq1024,0.5,0.25,0.542,0.333,0.208
seq1025,0.48,0.16,0.64,0.32,0.08
seq1026,0.48,0.24,0.52,0.36,0.12
seq1027,0.419,0.323,0.548,0.29,0.065
seq1028,0.267,0.4,0.5,0.133,0.333
seq1029,0.4,0.233,0.533,0.233,0.2
seq1030,0.417,0.417,0.542,0.25,0.208
seq1031,0.333,0.37,0.519,0.333,0.222
seq1032,0.375,0.375,0.5,0.292,0.292
seq1033,0.483,0.276,0.552,0.31,0.138
seq1034,0.407,0.333,0.593,0.222,0.185
seq1035,0.27,0.405,0.568,0.27,0.162
seq1036,0.472,0.278,0.444,0.056,0.389
seq1037,0.455,0.318,0.273,0.273,0.318
seq1038,0.281,0.281,0.406,0.281,0.312
seq1039,0.267,0.4,0.5,0.267,0.267
seq1040,0.442,0.163,0.256,0.558,0.163
seq1041,0.378,0.333,0.444,0.222,0.267
seq1042,0.343,0.351,0.328,0.381,0.321
seq1043,0.328,0.344,0.359,0.282,0.321
seq1044,0.397,0.314,0.397,0.355,0.198
seq1045,0.379,0.379,0.517,0.345,0.172
seq1046,0.384,0.323,0.333,0.364,0.303
seq1047,0.261,0.0,0.391,0.522,0.478
seq1048,0.308,0.462,0.385,0.385,0.308
seq1049,0.2,0.6,0.6,0.15,0.3
seq1050,0.591,0.273,0.568,0.182,0.182
seq1051,0.562,0.188,0.562,0.188,0.0
seq1052,0.476,0.095,0.571,0.286,0.286
seq1053,0.526,0.053,0.474,0.316,0.263
seq1054,0.379,0.31,0.431,0.293,0.259
seq1055,0.588,0.294,0.588,0.353,0.059
seq1056,0.444,0.333,0.667,0.333,0.056
seq1057,0.632,0.263,0.579,0.263,0.158
seq1058,0.5,0.214,0.643,0.286,0.071
seq1059,0.355,0.419,0.645,0.097,0.258
seq1060,0.143,0.524,0.571,0.238,0.19
seq1061,0.422,0.375,0.609,0.141,0.25
seq1062,0.274,0.415,0.453,0.16,0.377
seq1063,0.224,0.355,0.421,0.289,0.329
seq1064,0.654,0.231,0.615,0.269,0.154
seq1065,0.349,0.256,0.535,0.302,0.163
seq1066,0.462,0.231,0.5,0.192,0.154
seq1067,0.309,0.4,0.491,0.273,0.218
seq1068,0.367,0.265,0.347,0.347,0.286
seq1069,0.5,0.3,0.65,0.15,0.2
seq1070,0.435,0.348,0.609,0.217,0.217
seq1071,0.452,0.258,0.516,0.355,0.194
seq1072,0.429,0.429,0.667,0.286,0.095
seq1073,0.415,0.246,0.354,0.354,0.385
seq1074,0.389,0.333,0.667,0.222,0.167
seq1075,0.417,0.299,0.37,0.346,0.315
seq1076,0.417,0.315,0.346,0.362,0.315
seq1077,0.545,0.409,0.455,0.364,0.182
seq1078,0.769,0.231,0.615,0.077,0.077
seq1079,0.312,0.438,0.562,0.125,0.375
seq1080,0.333,0.333,0.578,0.133,0.289
seq1081,0.407,0.407,0.593,0.296,0.185
seq1082,0.318,0.318,0.409,0.318,0.273
seq1083,0.5,0.273,0.545,0.182,0.182
seq1084,0.525,0.3,0.4,0.35,0.25
seq1085,0.281,0.421,0.491,0.175,0.263
seq1086,0.439,0.296,0.5,0.214,0.224
seq1087,0.358,0.368,0.495,0.295,0.2
seq1088,0.389,0.368,0.484,0.263,0.2
seq1089,0.442,0.269,0.385,0.308,0.212
seq1090,0.436,0.308,0.397,0.333,0.256
seq1091,0.38,0.394,0.338,0.296,0.352
seq1092,0.458,0.271,0.417,0.354,0.208
seq1093,0.421,0.368,0.421,0.158,0.263
seq1094,0.357,0.464,0.5,0.429,0.143
seq1095,0.394,0.303,0.485,0.242,0.212
seq1096,0.686,0.143,0.286,0.371,0.057
seq1097,0.348,0.348,0.348,0.217,0.413
seq1098,0.316,0.368,0.684,0.105,0.211
seq1099,0.425,0.225,0.375,0.3,0.325
seq1100,0.412,0.441,0.559,0.147,0.176
seq1101,0.265,0.441,0.5,0.088,0.294
seq1102,0.438,0.344,0.5,0.219,0.219
seq1103,0.5,0.283,0.55,0.267,0.167
seq1104,0.587,0.27,0.54,0.238,0.175
seq1105,0.465,0.302,0.558,0.256,0.14
seq1106,0.347,0.327,0.429,0.306,0.204
seq1107,0.48,0.36,0.32,0.4,0.24
seq1108,0.343,0.343,0.429,0.371,0.286
seq1109,0.316,0.421,0.579,0.316,0.053
seq1110,0.603,0.254,0.381,0.349,0.206
seq1111,0.515,0.309,0.632,0.25,0.103
seq1112,0.327,0.385,0.462,0.269,0.231
seq1113,0.038,0.538,0.538,0.154,0.346
seq1114,0.1,0.55,0.55,0.15,0.35
seq1115,0.4,0.3,0.6,0.2,0.3
seq1116,0.28,0.52,0.44,0.26,0.32
seq1117,0.364,0.341,0.636,0.205,0.182
seq1118,0.363,0.284,0.324,0.343,0.324
seq1119,0.483,0.2,0.317,0.417,0.267
seq1120,0.525,0.2,0.2,0.65,0.225
seq1121,0.387,0.339,0.395,0.258,0.282
seq1122,0.239,0.197,0.521,0.197,0.211
seq1123,0.316,0.237,0.395,0.263,0.184
seq1124,0.303,0.167,0.409,0.273,0.318
seq1125,0.3,0.367,0.533,0.167,0.133
seq1126,0.25,0.45,0.5,0.35,0.15
seq1127,0.303,0.394,0.47,0.318,0.182
seq1128,0.385,0.385,0.692,0.308,0.0
seq1129,0.4,0.333,0.433,0.4,0.183
seq1130,0.548,0.226,0.194,0.387,0.258
seq1131,0.483,0.276,0.431,0.379,0.19
seq1132,0.129,0.548,0.581,0.194,0.29
seq1133,0.554,0.277,0.462,0.292,0.138
seq1134,0.378,0.243,0.351,0.243,0.297
seq1135,0.289,0.342,0.605,0.289,0.211
seq1136,0.391,0.391,0.656,0.141,0.203
seq1137,0.229,0.314,0.686,0.143,0.171
seq1138,0.357,0.405,0.548,0.119,0.31
seq1139,0.423,0.308,0.462,0.192,0.231
seq1140,0.4,0.36,0.4,0.32,0.2
seq1141,0.294,0.471,0.647,0.118,0.176
seq1142,0.469,0.219,0.594,0.344,0.062
seq1143,0.286,0.171,0.143,0.6,0.629
seq1144,0.371,0.171,0.257,0.214,0.486
seq1145,0.421,0.316,0.632,0.211,0.263
seq1146,0.28,0.52,0.68,0.16,0.2
seq1147,0.435,0.283,0.587,0.261,0.087
seq1148,0.588,0.176,0.559,0.294,0.118
seq1149,0.786,0.0,0.5,0.143,0.357
seq1150,0.33,0.297,0.385,0.396,0.396
seq1151,0.471,0.265,0.529,0.118,0.059
