ID,DDR_A,DDR_C,DDR_D,DDR_E,DDR_F,DDR_G,DDR_H,DDR_I,DDR_K,DDR_L,DDR_M,DDR_N,DDR_P,DDR_Q,DDR_R,DDR_S,DDR_T,DDR_V,DDR_W,DDR_Y
seq591,7.09,5.88,0.00,0.00,31.35,10.63,0.00,17.57,29.68,19.31,0.00,25.30,0.00,9.85,28.69,18.00,17.51,20.97,20.97,26.65
seq592,0.00,5.44,15.24,17.93,0.00,11.46,10.68,17.93,24.18,8.75,0.00,9.88,0.00,20.41,0.00,8.22,14.62,11.75,20.89,0.00
seq593,16.03,12.00,16.03,18.83,20.03,11.86,17.77,0.00,13.52,17.77,21.37,9.39,0.00,0.00,0.00,11.70,9.85,0.00,8.25,15.37
seq594,45.06,6.68,29.11,53.66,27.06,15.64,25.69,32.01,12.49,50.50,0.00,0.00,22.60,22.91,16.52,15.14,19.33,17.80,34.86,58.37
seq595,9.13,0.00,0.00,0.00,0.00,13.30,11.04,0.00,12.04,3.58,0.00,0.00,12.71,0.00,5.45,6.95,13.54,0.00,21.04,0.00
seq596,27.16,10.28,0.00,0.00,0.00,11.82,0.00,12.30,8.12,11.37,0.00,20.97,0.00,0.00,0.00,13.82,7.68,8.21,0.00,14.58
seq597,18.83,0.00,0.00,14.03,9.48,17.53,15.41,0.00,13.53,14.41,0.00,14.03,16.41,13.66,0.00,21.58,12.34,7.24,15.52,29.15
seq598,0.00,0.00,16.25,0.00,0.00,0.00,0.00,12.05,14.65,10.25,0.00,15.26,4.50,0.00,5.65,0.00,0.00,18.05,0.00,7.05
seq599,11.63,5.62,0.00,17.04,0.00,11.11,0.00,18.18,13.18,8.37,19.46,10.65,20.89,0.00,15.18,13.48,13.11,16.04,22.46,10.15
seq600,10.22,0.00,0.00,24.18,14.46,3.86,0.00,13.46,6.08,10.00,15.19,0.00,20.89,26.04,22.46,20.89,13.18,13.46,0.00,0.00
seq601,29.68,5.30,32.34,0.00,0.00,23.73,0.00,0.00,29.68,28.11,0.00,32.34,6.26,18.86,6.48,15.95,0.00,0.00,24.97,0.00
seq602,9.45,15.62,0.00,0.00,10.05,11.14,0.00,8.38,0.00,16.59,0.00,0.00,12.57,7.33,0.00,11.86,5.89,6.15,0.00,0.00
seq603,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.75,0.00,0.00,2.35,6.77,0.00
seq604,0.00,0.00,0.00,6.07,6.07,0.00,0.00,6.15,2.55,10.36,0.00,6.62,0.00,0.00,0.00,0.00,0.00,6.92,8.93,0.00
seq605,0.00,0.00,6.62,0.00,0.00,6.07,0.00,12.07,4.31,4.92,5.69,0.00,0.00,0.00,0.00,0.00,0.00,6.62,8.93,0.00
seq606,24.12,17.87,28.24,20.73,15.24,23.30,32.58,30.46,50.33,27.67,46.05,41.12,20.42,36.25,8.76,17.59,70.07,40.93,38.45,46.43
seq607,0.00,7.85,0.00,0.00,12.07,0.00,0.00,5.54,0.00,0.00,0.00,0.00,0.00,0.00,12.07,6.18,3.82,0.00,0.00,0.00
seq608,16.25,0.00,0.00,9.05,6.42,13.68,0.00,9.25,8.32,2.21,0.00,13.25,0.00,0.00,9.25,9.65,0.00,13.25,0.00,0.00
seq609,4.89,0.00,30.88,0.00,26.00,12.58,0.00,11.84,22.69,16.87,16.12,36.02,0.00,41.39,0.00,20.57,15.33,32.18,47.42,39.22
seq610,4.93,0.00,39.82,0.00,0.00,8.33,38.32,19.64,28.24,11.27,0.00,31.61,22.07,45.38,45.38,30.33,22.08,8.70,16.33,0.00
seq611,6.67,0.00,0.00,0.00,8.67,4.46,8.67,6.92,6.67,3.08,0.00,0.00,0.00,0.00,0.00,0.00,6.53,0.00,0.00,0.00
seq612,19.53,13.38,0.00,0.00,11.03,9.30,0.00,0.00,0.00,0.00,0.00,22.63,7.25,0.00,5.41,22.06,0.00,7.79,30.03,30.03
seq613,0.00,8.41,0.00,11.30,0.00,7.33,0.00,18.23,0.00,6.95,0.00,0.00,8.29,10.19,0.00,11.91,6.76,7.05,0.00,11.91
seq614,5.69,0.00,10.36,0.00,0.00,0.00,7.79,6.93,12.07,4.75,0.00,0.00,0.00,8.93,0.00,6.07,6.93,5.69,0.00,0.00
seq615,0.00,0.00,0.00,5.14,14.54,9.50,0.00,0.00,6.15,8.26,9.30,10.17,0.00,0.00,17.48,6.77,0.00,12.71,0.00,0.00
seq616,0.00,0.00,0.00,0.00,14.40,0.00,0.00,10.77,15.83,9.54,12.88,0.00,0.00,5.23,14.40,15.44,9.88,9.65,12.80,11.60
seq617,11.50,21.91,20.42,0.00,23.09,15.58,0.00,17.70,7.50,6.97,0.00,27.39,0.00,15.76,0.00,8.25,12.77,16.48,0.00,0.00
seq618,9.90,11.05,0.00,0.00,10.45,4.82,0.00,8.25,7.65,13.05,0.00,0.00,0.00,0.00,0.00,14.19,8.45,6.15,0.00,0.00
seq619,44.74,0.00,0.00,0.00,0.00,2.43,0.00,43.28,18.68,0.00,0.00,47.86,33.97,0.00,5.48,7.29,41.91,0.00,0.00,0.00
seq620,0.00,7.50,0.00,7.06,5.73,4.53,10.81,9.56,0.00,0.00,0.00,0.00,14.06,0.00,0.00,3.64,7.31,9.56,0.00,0.00
seq621,0.00,0.00,0.00,0.00,9.87,7.06,6.07,9.56,6.53,0.00,0.00,8.56,0.00,4.50,0.00,0.00,0.00,4.64,0.00,0.00
seq622,8.53,0.00,8.63,0.00,6.94,8.94,0.00,9.47,0.00,0.00,0.00,17.05,7.83,10.21,6.94,10.21,8.94,8.95,0.00,0.00
seq623,0.00,0.00,0.00,9.65,0.00,6.72,9.25,12.05,13.25,13.25,0.00,10.25,17.05,14.65,10.25,7.89,0.00,4.06,9.25,11.05
seq624,4.87,0.00,0.00,18.52,0.00,7.14,0.00,23.19,5.96,4.78,0.00,25.04,0.00,0.00,0.00,0.00,12.59,10.04,0.00,21.48
seq625,4.35,0.00,18.52,0.00,21.48,7.48,0.00,23.19,7.28,4.14,0.00,14.35,0.00,0.00,0.00,15.19,0.00,8.19,0.00,0.00
seq626,37.17,8.02,28.41,25.35,37.53,12.03,21.40,69.17,15.49,26.04,36.53,30.39,21.72,0.00,21.80,30.22,33.64,32.49,42.51,36.77
seq627,0.00,7.07,0.00,0.00,8.79,7.06,0.00,7.06,7.20,9.56,0.00,0.00,6.36,0.00,8.40,14.06,0.00,0.00,0.00,0.00
seq628,0.00,7.07,0.00,0.00,8.40,0.00,10.81,0.00,7.50,9.56,7.06,0.00,7.07,0.00,0.00,7.73,0.00,9.56,7.06,0.00
seq629,18.37,10.13,15.38,32.51,25.10,11.16,0.00,0.00,16.90,10.85,21.10,17.29,0.00,0.00,30.35,15.30,30.90,33.62,41.17,0.00
seq630,8.33,0.00,14.30,44.42,29.22,15.68,0.00,9.93,13.88,17.88,38.68,18.00,33.42,19.42,30.88,12.69,30.00,22.74,37.63,55.08
seq631,28.80,8.98,17.20,22.28,0.00,10.12,22.02,22.89,16.76,32.46,0.00,29.02,18.20,32.53,7.95,13.70,40.28,15.87,24.36,23.85
seq632,33.61,20.08,0.00,0.00,13.18,8.06,0.00,24.39,0.00,0.00,0.00,35.32,6.58,19.51,6.46,20.56,0.00,10.82,0.00,25.27
seq633,10.12,13.04,0.00,20.41,0.00,10.29,0.00,27.03,14.62,0.00,21.86,0.00,6.12,0.00,7.33,9.32,0.00,15.24,17.93,12.39
seq634,39.22,0.00,0.00,0.00,0.00,3.18,0.00,37.90,7.75,0.00,57.08,0.00,32.79,55.21,28.74,4.20,54.18,0.00,0.00,0.00
seq635,0.00,8.44,17.14,12.00,0.00,24.59,18.38,0.00,0.00,0.00,20.16,0.00,17.51,9.20,5.17,11.85,0.00,15.86,17.57,0.00
seq636,10.28,0.00,8.72,0.00,8.28,0.00,0.00,8.28,11.76,0.00,8.06,9.06,9.31,10.28,0.00,8.59,6.47,0.00,0.00,9.39
seq637,5.69,0.00,7.79,6.36,10.36,6.93,0.00,0.00,0.00,0.00,6.07,0.00,8.42,0.00,0.00,6.92,0.00,0.00,0.00,6.36
seq638,35.03,0.00,20.16,14.57,21.03,11.32,0.00,7.64,13.09,19.03,0.00,24.05,28.11,7.16,15.62,22.92,0.00,18.86,0.00,0.00
seq639,0.00,5.79,0.00,0.00,9.47,0.00,0.00,7.68,4.94,10.74,0.00,0.00,12.05,0.00,5.28,10.84,0.00,0.00,9.65,0.00
seq640,19.47,7.26,23.80,20.86,30.77,14.30,15.96,27.65,17.77,0.00,36.26,11.54,32.42,16.82,40.82,12.13,34.90,24.02,17.67,27.85
seq641,8.86,13.65,10.61,14.54,0.00,17.04,0.00,11.04,3.85,8.95,9.22,0.00,0.00,0.00,0.00,20.21,17.04,9.13,0.00,0.00
seq642,10.00,13.65,0.00,0.00,22.04,8.43,0.00,15.71,11.21,12.14,0.00,20.21,8.87,0.00,10.26,0.00,8.26,4.35,0.00,0.00
seq643,20.20,0.00,14.99,17.81,0.00,9.35,35.23,64.10,39.01,37.92,60.88,26.42,70.14,19.34,8.54,19.51,18.04,32.47,26.05,32.93
seq644,0.00,0.00,0.00,0.00,9.09,26.62,0.00,12.97,7.04,7.94,0.00,11.38,26.56,0.00,8.59,17.03,0.00,22.23,0.00,0.00
seq645,19.36,0.00,16.57,25.69,19.14,14.97,0.00,12.91,8.00,8.24,0.00,15.14,26.00,32.14,7.03,24.36,11.54,27.14,27.14,0.00
seq646,15.14,0.00,0.00,0.00,0.00,11.52,10.23,0.00,16.59,10.19,0.00,12.77,10.57,20.05,6.65,6.38,9.24,6.86,16.59,10.05
seq647,0.00,3.30,5.27,0.00,0.00,0.00,4.73,0.00,0.00,4.10,7.45,9.09,4.55,0.00,0.00,7.45,5.27,0.00,0.00,0.00
seq648,8.82,14.97,0.00,0.00,13.79,28.03,24.43,26.17,6.58,11.93,18.83,0.00,21.37,11.24,7.33,18.83,0.00,14.17,17.77,0.00
seq649,14.58,3.96,0.00,20.97,16.13,10.00,0.00,8.15,21.17,0.00,0.00,20.03,13.23,0.00,0.00,5.56,0.00,11.77,0.00,25.42
seq650,23.36,8.84,26.77,0.00,13.69,12.70,0.00,19.51,0.00,0.00,8.14,0.00,15.87,23.52,8.07,23.10,16.89,30.60,0.00,18.51
seq651,20.90,7.26,26.26,20.86,31.30,11.50,22.57,39.22,18.41,24.10,0.00,15.96,32.37,22.65,20.52,10.93,24.53,17.63,33.62,26.43
seq652,5.53,0.00,0.00,0.00,9.41,0.00,12.72,6.71,3.87,10.24,10.28,9.39,12.72,0.00,16.06,0.00,8.06,0.00,0.00,0.00
seq653,12.19,21.91,14.16,0.00,0.00,13.03,0.00,0.00,9.74,6.39,0.00,13.48,0.00,15.76,0.00,13.03,7.94,11.29,0.00,0.00
seq654,11.50,21.91,25.76,20.42,23.09,15.58,17.70,10.16,7.90,6.97,0.00,13.09,0.00,15.76,0.00,10.10,12.58,0.00,0.00,0.00
seq655,31.15,34.36,20.44,22.11,24.57,4.82,22.28,6.49,8.31,24.58,22.89,26.80,0.00,0.00,25.15,38.54,0.00,6.62,0.00,0.00
seq656,9.87,8.56,0.00,0.00,4.00,0.00,7.53,10.47,4.81,0.00,0.00,11.76,9.41,0.00,8.00,0.00,13.29,7.65,0.00,0.00
seq657,0.00,11.05,0.00,11.90,15.62,4.82,0.00,11.75,6.42,4.84,17.24,0.00,0.00,0.00,0.00,14.19,9.90,9.90,0.00,0.00
seq658,0.00,11.05,0.00,0.00,0.00,2.94,0.00,11.75,9.05,9.37,9.90,12.95,0.00,0.00,0.00,14.19,0.00,5.79,0.00,0.00
seq659,0.00,7.33,8.56,0.00,0.00,7.06,0.00,0.00,10.81,7.06,0.00,14.06,7.81,10.81,7.31,3.21,0.00,13.07,0.00,7.81
seq660,0.00,0.00,0.00,0.00,3.64,4.07,0.00,10.81,3.64,0.00,8.56,0.00,7.81,0.00,7.79,0.00,0.00,0.00,0.00,9.56
seq661,13.54,17.04,22.04,11.04,5.68,0.00,0.00,22.04,8.86,15.71,0.00,0.00,3.45,0.00,6.50,12.71,12.71,11.04,18.54,0.00
seq662,21.07,0.00,0.00,0.00,0.00,2.88,42.27,26.02,0.00,0.00,0.00,0.00,0.00,0.00,6.32,8.84,0.00,28.52,0.00,44.10
seq663,6.79,0.00,0.00,0.00,18.52,4.14,14.37,12.81,8.24,4.05,0.00,0.00,21.48,24.04,0.00,9.96,0.00,0.00,0.00,0.00
seq664,3.93,0.00,0.00,0.00,0.00,6.53,0.00,13.29,5.56,3.85,0.00,11.76,0.00,0.00,0.00,10.47,0.00,0.00,0.00,0.00
seq665,16.25,6.42,0.00,0.00,13.25,8.94,0.00,0.00,9.25,14.65,0.00,10.25,8.17,0.00,16.25,8.63,9.65,13.25,10.25,9.05
seq666,14.03,3.84,0.00,20.03,6.89,8.44,0.00,0.00,11.31,15.37,0.00,28.03,14.83,17.77,21.72,14.03,18.83,16.03,14.17,15.17
seq667,14.77,17.10,11.63,0.00,17.68,11.04,0.00,5.54,5.93,13.37,14.77,10.77,28.03,0.00,0.00,22.32,15.55,14.58,25.42,0.00
seq668,0.00,0.00,0.00,0.00,0.00,4.73,6.08,3.82,5.42,4.00,8.42,0.00,0.00,0.00,10.08,6.08,0.00,0.00,7.08,0.00
seq669,0.00,0.00,0.00,0.00,4.77,3.50,0.00,9.56,7.31,4.75,0.00,0.00,10.81,0.00,0.00,0.00,0.00,8.56,0.00,0.00
seq670,7.13,13.65,0.00,0.00,14.78,9.65,0.00,4.55,7.71,7.23,0.00,0.00,8.26,0.00,0.00,0.00,7.74,0.00,0.00,0.00
seq671,11.29,21.91,11.48,0.00,0.00,14.34,0.00,8.97,4.96,7.90,0.00,0.00,0.00,0.00,27.39,13.61,7.94,16.48,0.00,0.00
seq672,7.65,0.00,0.00,0.00,7.79,8.00,8.59,0.00,11.76,2.46,0.00,0.00,7.06,0.00,0.00,7.31,0.00,0.00,0.00,0.00
seq673,13.05,11.05,0.00,0.00,19.05,14.19,0.00,12.95,8.55,4.82,11.90,0.00,9.52,0.00,15.62,9.62,7.25,11.90,0.00,0.00
seq674,13.79,0.00,24.02,48.02,23.39,7.93,43.27,27.62,19.39,30.65,40.82,13.49,22.04,46.10,20.45,19.10,18.78,11.02,31.30,20.34
seq675,0.00,0.00,0.00,7.65,0.00,12.31,0.00,8.59,8.00,6.19,4.50,0.00,9.41,0.00,6.67,8.00,13.29,0.00,0.00,0.00
seq676,3.75,0.00,0.00,0.00,10.36,0.00,0.00,10.36,8.93,4.75,0.00,6.07,0.00,0.00,7.79,0.00,6.92,0.00,6.36,0.00
seq677,11.88,0.00,16.00,19.10,0.00,11.75,0.00,12.37,3.83,9.56,25.17,15.24,20.41,0.00,0.00,21.86,17.93,10.30,0.00,0.00
seq678,9.19,0.00,16.00,0.00,9.61,7.33,0.00,11.46,8.32,14.46,21.86,0.00,19.25,0.00,0.00,15.18,12.18,6.30,0.00,0.00
seq679,9.81,0.00,15.18,0.00,0.00,11.41,0.00,10.64,7.62,7.27,0.00,0.00,19.93,0.00,0.00,14.74,8.35,6.96,0.00,0.00
seq680,0.00,4.37,0.00,0.00,0.00,14.09,0.00,14.03,25.76,9.87,15.52,15.34,19.39,16.48,29.15,10.97,8.23,10.13,0.00,0.00
seq681,0.00,4.88,0.00,0.00,11.58,0.00,0.00,12.65,17.26,8.81,25.04,12.81,13.88,0.00,6.32,5.62,23.19,11.28,12.59,0.00
seq682,25.26,10.13,21.69,26.17,25.10,9.25,0.00,19.57,13.79,10.60,21.30,0.00,21.29,0.00,31.02,20.35,19.06,15.86,41.17,0.00
seq683,6.25,25.62,0.00,0.00,18.12,3.66,0.00,30.49,28.26,16.73,19.95,37.12,20.73,0.00,0.00,17.82,22.62,11.23,20.02,12.05
seq684,9.82,34.06,56.59,66.07,27.90,4.94,42.76,21.59,47.47,14.11,26.41,24.41,49.41,0.00,35.52,27.54,21.97,13.31,0.00,44.87
seq685,9.88,0.00,8.65,0.00,13.04,11.88,12.59,8.56,18.96,14.37,0.00,14.58,11.81,12.81,0.00,14.37,25.04,9.96,0.00,0.00
seq686,4.86,0.00,0.00,13.52,10.21,7.04,0.00,16.64,8.41,6.43,0.00,19.52,21.20,0.00,0.00,15.44,17.04,0.00,19.52,0.00
seq687,12.63,0.00,30.03,20.66,10.13,7.11,16.28,12.30,15.50,15.41,0.00,19.42,0.00,0.00,10.63,0.00,15.03,8.15,0.00,0.00
seq688,6.53,0.00,0.00,0.00,14.06,5.20,12.31,7.33,9.56,4.31,0.00,0.00,0.00,0.00,0.00,3.79,0.00,0.00,0.00,0.00
seq689,26.90,9.20,37.16,17.40,29.07,19.76,48.47,38.47,11.62,60.59,38.56,24.07,25.57,23.01,15.05,25.40,20.08,35.21,63.35,25.44
seq690,29.25,6.93,0.00,13.31,15.80,11.44,18.55,33.30,9.79,27.69,0.00,22.66,25.92,37.22,22.94,9.06,24.67,12.29,30.16,0.00
seq691,0.00,8.75,16.34,25.43,36.14,10.39,15.55,32.61,13.42,13.20,0.00,45.47,20.35,49.69,16.02,11.75,32.60,28.02,28.71,52.22
seq692,10.26,16.09,11.54,0.00,7.04,10.17,14.54,17.04,14.95,15.91,0.00,11.21,7.14,0.00,20.21,0.00,8.52,0.00,12.04,0.00
seq693,0.00,0.00,8.45,0.00,6.35,15.14,0.00,7.90,9.62,16.59,0.00,10.05,11.14,0.00,6.95,11.52,10.59,12.77,11.86,0.00
seq694,24.68,0.00,13.73,12.06,33.56,17.52,61.15,10.31,11.60,14.83,72.01,26.41,26.51,17.19,29.46,24.82,18.81,29.10,0.00,48.50
seq695,0.00,21.05,23.18,13.39,0.00,26.95,21.69,0.00,61.02,30.79,35.05,36.73,18.79,8.71,5.90,43.56,0.00,0.00,0.00,34.73
seq696,11.60,0.00,0.00,0.00,15.71,4.19,4.32,6.52,11.60,4.19,0.00,19.52,0.00,0.00,18.46,0.00,0.00,12.24,0.00,0.00
seq697,15.58,5.82,0.00,0.00,39.29,7.27,0.00,25.96,14.10,8.50,0.00,24.20,34.80,21.56,9.61,19.32,32.89,22.62,0.00,25.96
seq698,20.45,30.68,27.17,50.26,26.74,17.16,29.91,52.35,0.00,45.29,62.70,23.54,49.90,0.00,37.86,12.44,33.11,16.55,20.96,37.24
seq699,4.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.59,7.90,0.00,0.00,8.67,0.00,0.00,18.23,5.61,4.39,0.00,0.00
seq700,0.00,0.00,10.59,6.48,11.30,8.48,0.00,7.77,0.00,19.22,0.00,17.57,11.91,6.67,14.78,10.23,10.61,13.65,0.00,10.87
seq701,20.03,11.37,14.58,0.00,12.76,15.55,22.32,12.63,6.75,0.00,0.00,14.83,10.58,0.00,15.50,17.68,18.83,0.00,21.10,0.00
seq702,30.41,18.39,50.23,28.93,25.65,15.43,22.74,28.72,24.47,36.79,78.93,25.90,19.01,35.02,15.53,19.06,24.08,55.36,72.32,47.20
seq703,24.99,17.51,33.18,27.75,21.35,16.99,28.46,26.18,20.72,67.53,75.71,29.84,17.13,51.48,14.36,21.17,31.36,45.30,98.21,24.71
seq704,24.85,47.05,32.19,37.25,30.46,19.45,40.37,39.53,37.48,20.63,83.29,27.94,20.66,49.18,37.80,12.50,32.17,32.68,28.19,30.08
seq705,25.34,44.45,11.85,22.47,18.68,26.03,50.73,25.78,12.63,21.54,48.19,28.35,38.24,70.97,63.66,16.88,20.08,50.48,0.00,26.63
seq706,20.28,18.61,65.34,24.03,0.00,18.65,28.35,14.10,12.44,16.49,58.55,15.13,16.26,22.87,30.49,18.75,21.79,16.38,0.00,0.00
seq707,32.10,34.67,33.72,29.91,59.90,25.07,45.15,25.32,9.33,16.99,0.00,23.45,35.47,12.99,70.14,14.38,34.16,26.23,54.87,0.00
seq708,19.64,19.91,0.00,14.21,37.92,40.10,0.00,14.06,15.87,18.18,38.44,22.09,14.93,31.07,13.41,12.96,29.49,18.79,0.00,0.00
seq709,22.10,18.53,27.07,18.07,65.18,24.96,0.00,12.23,7.08,20.93,35.12,22.12,17.56,37.96,29.19,21.77,36.85,18.72,0.00,36.49
seq710,17.11,16.89,42.01,32.74,45.67,0.00,32.15,16.77,14.30,11.05,0.00,16.05,17.17,23.89,15.20,42.35,33.37,13.80,47.90,43.19
seq711,47.68,23.70,28.15,18.05,41.62,42.52,0.00,15.22,26.57,23.69,52.76,32.71,15.95,20.39,12.03,21.26,55.59,13.55,33.69,76.48
seq712,28.43,37.18,30.17,49.23,46.88,26.20,0.00,23.15,14.62,28.20,47.01,52.34,23.76,22.83,12.31,15.64,8.68,15.27,46.88,54.11
seq713,17.53,19.63,33.18,40.93,27.81,36.49,0.00,16.59,9.78,15.24,52.23,49.40,13.82,16.59,33.55,19.27,19.41,23.40,46.28,28.68
seq714,14.06,18.10,23.04,24.96,24.59,22.10,0.00,18.12,18.77,26.90,0.00,36.13,24.41,20.78,10.62,20.42,20.40,20.83,36.79,23.36
seq715,40.15,17.44,20.84,30.13,37.68,25.01,0.00,12.65,9.56,20.95,0.00,35.88,14.89,11.67,35.60,20.41,16.86,12.62,28.25,21.88
seq716,21.04,21.34,21.07,40.17,27.59,21.12,41.90,19.92,26.47,13.21,65.79,42.28,16.54,20.11,12.81,45.74,21.12,14.24,45.92,38.12
seq717,17.56,53.17,57.36,48.00,26.85,22.66,30.18,42.63,22.89,13.75,62.50,19.26,21.01,31.37,25.04,25.62,44.30,16.11,86.52,60.94
seq718,36.49,16.95,12.80,30.75,23.07,30.90,34.93,39.07,19.14,17.67,44.13,50.07,14.20,67.01,10.38,24.11,24.72,10.50,25.43,26.86
seq719,15.24,0.00,0.00,30.17,31.33,12.28,53.22,0.00,9.91,48.03,29.73,28.27,20.39,16.00,13.17,48.71,14.28,15.13,0.00,30.68
seq720,0.00,17.93,0.00,15.48,19.25,10.00,0.00,16.00,9.54,9.26,0.00,0.00,24.18,0.00,5.19,10.12,23.45,10.74,0.00,0.00
seq721,10.05,0.00,6.76,0.00,6.42,12.57,0.00,10.19,6.00,7.24,20.05,18.23,0.00,18.23,0.00,0.00,13.86,10.05,0.00,0.00
seq722,20.21,0.00,10.04,0.00,19.52,12.24,0.00,5.71,9.50,9.38,23.04,13.52,0.00,21.20,0.00,14.40,7.71,8.54,0.00,0.00
seq723,13.21,5.68,0.00,17.69,23.14,7.53,0.00,28.69,17.69,29.31,0.00,19.03,0.00,0.00,21.03,8.19,9.79,10.61,0.00,0.00
seq724,10.22,7.57,30.02,23.45,37.12,7.33,15.07,0.00,0.00,13.80,0.00,0.00,16.32,26.31,15.85,22.10,16.57,0.00,24.31,11.12
seq725,23.73,0.00,43.79,40.76,31.16,11.49,28.25,25.79,11.99,0.00,0.00,19.08,25.64,26.18,52.27,20.97,43.57,22.82,40.64,96.01
seq726,9.81,5.88,0.00,22.54,12.34,9.45,18.86,18.13,16.92,12.16,0.00,23.73,16.22,36.03,13.68,18.34,26.43,0.00,0.00,0.00
seq727,29.37,8.70,16.41,33.56,57.21,21.82,0.00,22.46,13.42,16.88,25.18,30.66,10.24,33.56,22.98,17.80,30.62,36.31,0.00,23.89
seq728,30.49,0.00,19.97,18.60,40.77,6.46,29.51,16.76,20.96,30.05,0.00,17.46,12.51,47.56,24.60,22.08,18.62,36.50,24.26,58.93
seq729,9.38,0.00,0.00,0.00,12.04,8.52,9.22,5.71,11.60,7.54,0.00,0.00,0.00,0.00,14.65,11.84,0.00,0.00,0.00,0.00
seq730,10.19,0.00,0.00,0.00,20.05,6.65,4.17,3.41,0.00,0.00,0.00,0.00,0.00,0.00,9.24,10.23,0.00,10.23,11.14,0.00
seq731,17.24,0.00,14.65,0.00,11.05,4.42,7.17,8.45,0.00,4.39,0.00,0.00,0.00,0.00,15.62,10.38,0.00,11.90,0.00,0.00
seq732,9.50,0.00,13.30,0.00,14.52,9.70,12.43,23.81,7.86,13.03,0.00,15.16,15.41,26.17,15.16,0.00,0.00,10.83,28.16,0.00
seq733,26.92,35.34,40.04,51.22,17.78,21.10,51.01,62.09,15.62,21.22,69.96,61.44,33.20,64.75,20.09,16.18,11.83,29.96,27.59,47.05
seq734,21.06,35.81,30.99,26.24,65.49,32.77,26.04,24.52,19.12,18.73,66.69,49.59,19.28,42.97,20.18,25.05,11.96,27.86,44.23,38.64
seq735,21.74,33.67,34.36,19.92,38.30,24.21,47.65,28.59,28.40,17.36,0.00,33.90,20.23,26.29,11.10,19.39,19.88,17.50,29.66,30.06
seq736,18.56,17.31,35.13,32.29,0.00,20.31,26.52,13.78,11.90,9.31,0.00,37.79,16.30,14.78,21.75,31.90,16.74,28.40,0.00,51.16
seq737,0.00,8.59,61.09,20.33,16.46,23.67,52.81,17.30,13.70,20.96,29.95,28.06,34.19,16.75,17.96,25.12,32.41,28.12,20.08,53.19
seq738,16.25,0.00,9.05,0.00,9.25,5.61,0.00,13.58,4.44,9.65,13.25,0.00,12.05,0.00,0.00,0.00,0.00,5.83,11.05,0.00
seq739,0.00,6.63,0.00,0.00,8.05,4.63,0.00,14.19,10.23,0.00,0.00,13.86,10.59,0.00,0.00,8.05,5.75,0.00,0.00,0.00
seq740,0.00,7.81,0.00,0.00,4.81,0.00,0.00,6.31,5.73,5.21,0.00,0.00,11.76,0.00,0.00,8.00,10.47,13.29,0.00,0.00
seq741,15.05,18.40,34.89,33.42,42.09,13.01,27.19,28.43,26.16,51.05,49.13,28.10,22.40,78.26,24.03,17.11,29.15,27.96,68.89,17.19
seq742,20.24,0.00,19.61,11.17,40.76,30.76,27.13,32.47,30.25,13.14,35.89,58.20,11.14,0.00,12.47,15.75,22.31,24.01,50.73,0.00
seq743,54.94,9.14,25.55,33.89,39.90,13.55,73.97,33.91,26.72,69.30,0.00,51.66,12.76,24.29,26.85,21.72,31.12,21.49,66.58,34.52
seq744,0.00,0.00,0.00,23.04,10.23,11.88,0.00,0.00,6.95,4.35,0.00,0.00,11.60,16.64,18.00,6.05,0.00,12.24,0.00,0.00
seq745,0.00,3.39,0.00,17.04,0.00,10.58,0.00,15.48,0.00,13.11,0.00,13.89,8.65,16.15,15.19,0.00,8.96,12.52,0.00,10.00
seq746,7.46,5.23,21.20,0.00,0.00,0.00,0.00,5.59,4.21,23.04,0.00,12.24,10.17,0.00,0.00,0.00,0.00,11.88,0.00,0.00
seq747,0.00,0.00,0.00,29.37,0.00,2.07,6.70,0.00,0.00,0.00,0.00,31.14,0.00,0.00,0.00,33.03,0.00,0.00,0.00,8.41
seq748,20.21,0.00,0.00,12.80,12.80,14.40,18.00,0.00,8.71,19.52,0.00,0.00,7.83,16.64,7.77,13.65,6.78,11.52,11.60,0.00
seq749,18.82,18.99,42.86,22.32,26.33,18.77,0.00,29.52,12.93,8.96,0.00,22.93,16.38,18.50,44.99,25.01,38.12,8.96,0.00,0.00
seq750,18.75,19.44,60.34,49.69,0.00,33.87,17.04,30.84,41.52,37.56,41.41,29.50,43.82,33.12,22.41,25.74,37.99,16.08,68.80,114.48
seq751,15.77,18.60,17.35,24.65,31.73,27.73,24.83,20.94,24.54,7.76,0.00,52.09,30.17,9.10,16.50,21.72,42.22,16.83,0.00,37.95
seq752,27.16,21.14,38.63,28.61,112.01,22.06,23.63,37.23,29.52,29.69,48.41,44.78,35.47,27.62,12.00,14.64,32.55,20.08,57.94,0.00
seq753,8.17,6.50,0.00,0.00,8.95,8.06,0.00,0.00,8.28,17.05,6.94,0.00,10.21,0.00,5.39,12.32,0.00,11.16,15.26,13.68
seq754,8.17,6.50,0.00,0.00,8.95,8.53,0.00,0.00,8.28,6.94,12.32,0.00,10.21,0.00,5.39,12.32,11.16,0.00,15.26,13.68
seq755,0.00,17.75,16.90,14.62,20.41,27.03,15.24,11.75,6.56,6.73,0.00,21.86,23.45,25.17,10.15,14.62,11.46,10.68,0.00,0.00
